angle_source,p,number_of_reads,maximum_iterations,gamma_sign,guarantee_3regular_maxcut,initial_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension,repaired_match,repaired_aux_bits,repaired_full_bits,repaired_qubo_energy,raw_to_repaired_qubo_gap,aux_hamming_to_repaired,repaired_matches_gurobi_pool,repaired_matches_global_optimum,repaired_ip_objective_if_pool
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],1,1,0.0078125,310.9549999999998,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100000000111010011,110000000011101001100000000001011111,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100000010000101,110000000011101001100100000010000101,139.9617999999998,170.9932,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],2,1,0.0078125,406.2385999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010101000110000101,101010100011000010100100010100011111,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000100000000000,101010100011000010100000100000000000,107.00049999999987,299.2380999999999,9,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],3,1,0.0078125,409.1622,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001111110010000101,100111111001000010100000011111000100,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000111100000000,100111111001000010100000111100000000,152.67239999999993,256.48980000000006,4,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],4,1,0.0078125,413.1511999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001110101111100111,100111010111110011100000001000011011,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000000001011,100111010111110011100000000000001011,327.65459999999985,85.49659999999994,2,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],5,1,0.0078125,439.9614999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001010110011000001,100101011001100000101010100110011000,true,single,36,1.0e-10,64,not_in_gurobi_pool,10001101010000000,100101011001100000110001101010000000,183.47169999999983,256.4897999999999,8,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],6,1,0.0078125,458.70389999999986,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010101101110000101,101010110111000010101110011010000000,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000100000000000,101010110111000010100000100000000000,159.4658,299.23809999999986,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],7,1,0.0078125,490.58619999999985,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0010101110010000001,001010111001000000110001000010010100,true,single,36,1.0e-10,64,not_in_gurobi_pool,10001111010000000,001010111001000000110001111010000000,191.34809999999982,299.23810000000003,5,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],8,1,0.0078125,497.9281999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010001110110000101,101000111011000010110001011000100101,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000100000000000,101000111011000010100000100000000000,241.43839999999977,256.48979999999995,8,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],9,1,0.0078125,540.3135,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100001110011000101,010000111001100010100101110101100010,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101110000000,010000111001100010100000101110000000,283.8236999999998,256.4898000000002,8,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],10,1,0.0078125,561.4042999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1101100000100010011,110110000010001001100000000100001011,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100000000000101,110110000010001001100100000000000101,347.6627999999997,213.74149999999997,5,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],11,1,0.0078125,570.2018999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000111100111000001,100011110011100000101000010101100010,true,single,36,1.0e-10,64,not_in_gurobi_pool,11001101000001000,100011110011100000111001101000001000,313.7120999999996,256.48980000000006,10,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],12,1,0.0078125,571.1127999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100000110011000000,010000011001100000010000010110100101,true,single,36,1.0e-10,64,not_in_gurobi_pool,10101001011000000,010000011001100000010101001011000000,271.8746999999998,299.2381,9,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],13,1,0.0078125,572.2328999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000110100111000100,100011010011100010010100000010100101,true,single,36,1.0e-10,64,not_in_gurobi_pool,01000000001001000,100011010011100010001000000001001000,272.99479999999977,299.2381,9,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],14,1,0.0078125,573.2307999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100101000100010111,110010100010001011100100001110011101,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000001000000101,110010100010001011100000001000000101,359.48929999999984,213.74149999999986,5,false,false,
