angle_source,p,number_of_reads,maximum_iterations,gamma_sign,guarantee_3regular_maxcut,initial_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension,repaired_match,repaired_aux_bits,repaired_full_bits,repaired_qubo_energy,raw_to_repaired_qubo_gap,aux_hamming_to_repaired,repaired_matches_gurobi_pool,repaired_matches_global_optimum,repaired_ip_objective_if_pool
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],1,1,0.0078125,189.06769999999995,1.1368683772161603e-13,gurobi_pool,gurobi_pool,projection_only_gurobi_pool,false,00000101010000011,100111010101110001100000101010000011,18.07449999999983,170.99320000000012,4,18.0745,1001110101011100011,100111010101110001101000101110010001,true,single,36,1.0e-10,64,gurobi_pool,00000101010000011,100111010101110001100000101010000011,18.07449999999983,170.99320000000012,4,true,false,18.0745
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],2,1,0.0078125,227.4593999999999,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100110010010000011,110011001001000001100001001011100011,true,single,36,1.0e-10,64,not_in_gurobi_pool,00001001011100111,110011001001000001100001001011100111,184.71109999999987,42.74830000000003,1,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],3,1,0.0078125,235.9534000000001,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010101101010000011,101010110101000001100000111010100111,true,single,36,1.0e-10,64,not_in_gurobi_pool,00001111001000111,101010110101000001100001111001000111,150.4568,85.49660000000011,4,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],4,1,0.0078125,262.8217000000001,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010101100000000011,101010110000000001101010110101010111,true,single,36,1.0e-10,64,not_in_gurobi_pool,00011111010000111,101010110000000001100011111010000111,134.57679999999993,128.24490000000014,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],5,1,0.0078125,300.6109999999999,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010110100001000011,101011010000100001100010010011011110,true,single,36,1.0e-10,64,not_in_gurobi_pool,00011100011100111,101011010000100001100011100011100111,172.3660999999999,128.24489999999997,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],6,1,0.0078125,316.57359999999994,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001110101011000011,100111010101100001100001111101100100,true,single,36,1.0e-10,64,not_in_gurobi_pool,00001101010000111,100111010101100001100001101010000111,102.83209999999997,213.74149999999997,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],7,1,0.0078125,346.4418999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0001110000001000011,000111000000100001100010010110000010,true,single,36,1.0e-10,64,not_in_gurobi_pool,00011101010000111,000111000000100001100011101010000111,218.19699999999978,128.24490000000003,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],8,1,0.0078125,348.18929999999983,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010110100011000001,101011010001100000100001100011011100,true,single,36,1.0e-10,64,not_in_gurobi_pool,10011100011100000,101011010001100000110011100011100000,177.19609999999977,170.99320000000006,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],9,1,0.0078125,349.5112999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100010100011000011,110001010001100001100010000011100111,true,single,36,1.0e-10,64,not_in_gurobi_pool,00011000111010111,110001010001100001100011000111010111,264.0146999999998,85.4966,4,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],10,1,0.0078125,352.48239999999987,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000110100010000011,000011010001000001101000100111000011,true,single,36,1.0e-10,64,not_in_gurobi_pool,01011101011000111,000011010001000001101011101011000111,224.23749999999984,128.24490000000003,5,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],11,1,0.0078125,355.7042999999999,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100010110010000011,110001011001000001110000000111100010,true,single,36,1.0e-10,64,not_in_gurobi_pool,00001000111010111,110001011001000001100001000111010111,184.71109999999982,170.99320000000006,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],12,1,0.0078125,362.2392999999999,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0010110101011000011,001011010101100001100010110111010110,true,single,36,1.0e-10,64,not_in_gurobi_pool,00001100011100111,001011010101100001100001100011100111,148.49779999999998,213.74149999999992,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],13,1,0.0078125,389.0676999999997,5.684341886080802e-14,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000010000000000011,000001000000000001101000011011110111,true,single,36,1.0e-10,64,not_in_gurobi_pool,01011011011000111,000001000000000001101011011011000111,132.57789999999977,256.48979999999995,4,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],14,1,0.0078125,393.07069999999976,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000010100010010011,100001010001001001100000100111000001,true,single,36,1.0e-10,64,not_in_gurobi_pool,01010101011000101,100001010001001001101010101011000101,264.8257999999998,128.24489999999997,5,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],15,1,0.0078125,393.1586999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000000000100100011,000000000010010001101000000010010010,true,single,36,1.0e-10,64,not_in_gurobi_pool,01100000001000011,000000000010010001101100000001000011,179.41719999999975,213.74149999999997,5,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],16,1,0.0078125,394.4185999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010001100101000011,101000110010100001100001101000010110,true,single,36,1.0e-10,64,not_in_gurobi_pool,00001100000000111,101000110010100001100001100000000111,266.1736999999999,128.24489999999992,3,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],17,1,0.0078125,395.2606999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000010110000000010,000001011000000001001001100111110111,true,single,36,1.0e-10,64,not_in_gurobi_pool,01001011011000111,000001011000000001001001011011000111,224.26749999999976,170.99319999999994,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],18,1,0.0078125,395.81359999999984,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100110101001000010,110011010100100001000001001011101100,true,single,36,1.0e-10,64,not_in_gurobi_pool,00001001011100111,110011010100100001000001001011100111,267.5686999999999,128.24489999999992,3,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],19,1,0.0078125,398.5826999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000110100111000010,000011010011100001011101010001011111,true,single,36,1.0e-10,64,not_in_gurobi_pool,01001000010001111,000011010011100001001001000010001111,227.58949999999987,170.99319999999983,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],20,1,0.0078125,401.97659999999985,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100000101010000011,110000010101000001100010001011010111,true,single,36,1.0e-10,64,not_in_gurobi_pool,00101001011000111,110000010101000001100101001011000111,230.98339999999985,170.9932,4,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],21,1,0.0078125,402.07019999999983,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001110001011000010,100111000101100001001001010010000101,true,single,36,1.0e-10,64,not_in_gurobi_pool,00001101010000111,100111000101100001000001101010000111,273.82529999999986,128.24489999999997,5,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],22,1,0.0078125,402.0702,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001110101011000010,100111010101100001000001101010110110,true,single,36,1.0e-10,64,not_in_gurobi_pool,00001101010000111,100111010101100001000001101010000111,188.3286999999999,213.7415000000001,3,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],23,1,0.0078125,431.8558999999997,5.684341886080802e-14,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0010110100000000011,001011010000000001110110100010110100,true,single,36,1.0e-10,64,not_in_gurobi_pool,00011100011100111,001011010000000001100011100011100111,132.61779999999987,299.2380999999998,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],24,1,0.0078125,435.74689999999987,5.684341886080802e-14,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100100000011100010,110010000001110001000111000101000100,true,single,36,1.0e-10,64,not_in_gurobi_pool,00110001011000011,110010000001110001000110001011000011,222.00539999999984,213.74150000000003,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],25,1,0.0078125,438.45349999999974,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001100100111000010,100110010011100001000101000000010111,true,single,36,1.0e-10,64,not_in_gurobi_pool,00101000000000111,100110010011100001000101000000000111,310.2085999999999,128.24489999999986,1,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],26,1,0.0078125,438.8888999999999,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0010110110001010010,001011011000101001001100101011111101,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000010011010101,001011011000101001000000010011010101,225.14739999999978,213.74150000000014,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],27,1,0.0078125,439.9668999999999,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100101100011000011,110010110001100001100001111110001111,true,single,36,1.0e-10,64,not_in_gurobi_pool,00011101110000111,110010110001100001100011101110000111,226.22539999999992,213.74149999999997,3,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],28,1,0.0078125,441.1719999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000110010010000011,100011001001000001111000101011001110,true,single,36,1.0e-10,64,not_in_gurobi_pool,01001101011000111,100011001001000001101001101011000111,270.1787999999998,170.9932,4,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],29,1,0.0078125,444.7358999999999,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010110101010000011,101011010101000001100110100000010011,true,single,36,1.0e-10,64,not_in_gurobi_pool,00001100011100111,101011010101000001100001100011100111,102.74949999999995,341.98639999999995,8,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],30,1,0.0078125,474.6867999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0001010100001000011,000101010000100001101010011001001110,true,single,36,1.0e-10,64,not_in_gurobi_pool,00011101010000111,000101010000100001100011101010000111,303.6935999999998,170.99319999999994,8,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],31,1,0.0078125,475.95779999999974,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0001010100000001011,000101010000000101100000100100110110,true,single,36,1.0e-10,64,not_in_gurobi_pool,00010011010000110,000101010000000101100010011010000110,219.46799999999973,256.4898,8,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],33,1,0.0078125,477.8497999999997,5.684341886080802e-14,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001110000010000011,100111000001000001100110101001110110,true,single,36,1.0e-10,64,not_in_gurobi_pool,00011101010000111,100111000001000001100011101010000111,178.61169999999981,299.23809999999986,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],32,1,0.0078125,477.8497999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001110100011000010,100111010001100001000000100110100010,true,single,36,1.0e-10,64,not_in_gurobi_pool,00011101010000111,100111010001100001000011101010000111,264.1082999999999,213.74149999999992,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],34,1,0.0078125,477.8497999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001110100010000011,100111010001000001110000000110011011,true,single,36,1.0e-10,64,not_in_gurobi_pool,00011011010000111,100111010001000001100011011010000111,178.61169999999981,299.2381,9,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],35,1,0.0078125,480.7272999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000110100011000011,000011010001100001100011011011110101,true,single,36,1.0e-10,64,not_in_gurobi_pool,01011101011000111,000011010001100001101011101011000111,224.23749999999978,256.4898,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],36,1,0.0078125,481.32119999999986,5.684341886080802e-14,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010110101001000011,101011010100100001110000011111010011,true,single,36,1.0e-10,64,not_in_gurobi_pool,00001100011100111,101011010100100001100001100011100111,182.08309999999994,299.2380999999999,9,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],37,1,0.0078125,482.0202999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000110101000100011,100011010100010001100010011000000001,true,single,36,1.0e-10,64,not_in_gurobi_pool,01000101011000011,100011010100010001101000101011000011,182.78219999999982,299.2381,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],38,1,0.0078125,482.72619999999995,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010101100011000011,101010110001100001100001100110001110,true,single,36,1.0e-10,64,not_in_gurobi_pool,00011110110000111,101010110001100001100011110110000111,226.23639999999995,256.4898,4,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],39,1,0.0078125,486.28020000000004,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010101101000000011,101010110100000001111100110101110111,true,single,36,1.0e-10,64,not_in_gurobi_pool,00001111010000111,101010110100000001100001111010000111,144.29379999999998,341.98640000000006,10,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],40,1,0.0078125,487.5861999999998,5.684341886080802e-14,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010001010010000001,101000101001000000100001101011000010,true,single,36,1.0e-10,64,not_in_gurobi_pool,10001111001000000,101000101001000000110001111001000000,316.59299999999973,170.99320000000006,4,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],41,1,0.0078125,490.4731999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100110101011000010,010011010101100001010010101011100001,true,single,36,1.0e-10,64,not_in_gurobi_pool,00001000111010111,010011010101100001000001000111010111,233.9833999999999,256.4897999999999,10,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],42,1,0.0078125,490.91879999999975,5.684341886080802e-14,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001110101110000010,100111010111000001010000000000000011,true,single,36,1.0e-10,64,not_in_gurobi_pool,00001000000001111,100111010111000001000001000000001111,319.92559999999975,170.9932,4,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],43,1,0.0078125,519.2650999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001010100011000001,100101010001100000100001000101001101,true,single,36,1.0e-10,64,not_in_gurobi_pool,10011101010000000,100101010001100000110011101010000000,262.7752999999998,256.48979999999995,10,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],44,1,0.0078125,520.5044999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100100000011000010,110010000001100001000101001011001101,true,single,36,1.0e-10,64,not_in_gurobi_pool,00111001011000111,110010000001100001000111001011000111,306.7629999999998,213.74149999999997,3,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],45,1,0.0078125,522.1425999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000110100011000000,000011010001100000011001010100000110,true,single,36,1.0e-10,64,not_in_gurobi_pool,11011101011000000,000011010001100000011011101011000000,222.90449999999976,299.2380999999999,9,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],46,1,0.0078125,522.4945999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000100100111000001,100010010011100000111101000001100101,true,single,36,1.0e-10,64,not_in_gurobi_pool,11101000010000000,100010010011100000111101000010000000,308.75309999999973,213.74150000000003,5,false,false,
