angle_source,p,number_of_reads,maximum_iterations,gamma_sign,guarantee_3regular_maxcut,initial_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension,repaired_match,repaired_aux_bits,repaired_full_bits,repaired_qubo_energy,raw_to_repaired_qubo_gap,aux_hamming_to_repaired,repaired_matches_gurobi_pool,repaired_matches_global_optimum,repaired_ip_objective_if_pool
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],1,1,0.0078125,367.68439999999975,5.684341886080802e-14,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000110110110000101,000011011011000010101000000010010011,true,single,36,1.0e-10,64,not_in_gurobi_pool,01000000010001000,000011011011000010101000000010001000,196.6911999999997,170.99320000000006,4,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],2,1,0.0078125,397.9876,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100101110001100011,110010111000110001100101101111100110,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101110000011,110010111000110001100000101110000011,141.49779999999976,256.48980000000023,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],3,1,0.0078125,400.5940999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1101110110110000001,110111011011000000110001000000011000,true,single,36,1.0e-10,64,not_in_gurobi_pool,10001000000101000,110111011011000000110001000000101000,400.59409999999957,1.1368683772161603e-13,2,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],4,1,0.0078125,405.1371999999999,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0001001101001001011,000100110100100101100000011000000110,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000111100000110,000100110100100101100000111100000110,319.64059999999984,85.49660000000006,2,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],5,1,0.0078125,410.43269999999984,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000110110110000101,000011011011000010111001000000001110,true,single,36,1.0e-10,64,not_in_gurobi_pool,01000000010001000,000011011011000010101000000010001000,196.6911999999997,213.74150000000014,5,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],6,1,0.0078125,437.36239999999964,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011110101001000001,101111010100100000110000010101101000,true,single,36,1.0e-10,64,not_in_gurobi_pool,10001100010100000,101111010100100000110001100010100000,309.1174999999997,128.24489999999992,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],7,1,0.0078125,438.7574999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001101110000000000,100110111000000000000000101000000101,true,single,36,1.0e-10,64,not_in_gurobi_pool,10001111100000000,100110111000000000010001111100000000,182.26769999999976,256.48980000000006,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],8,1,0.0078125,442.4608999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100101100000000101,010010110000000010100000010101011000,true,single,36,1.0e-10,64,not_in_gurobi_pool,00010101110000000,010010110000000010100010101110000000,185.9710999999998,256.4898,8,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],9,1,0.0078125,446.5318999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0010101101000000010,001010110100000001001000011001000101,true,single,36,1.0e-10,64,not_in_gurobi_pool,00001111010000111,001010110100000001000001111010000111,275.5386999999999,170.9931999999999,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],10,1,0.0078125,496.25919999999985,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100101101000000111,010010110100000011100101010110100111,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101110000111,010010110100000011100000101110000111,325.26599999999985,170.9932,6,false,false,
