algorithm,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,number_of_reads,maximum_iterations,number_of_layers,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension,repaired_match,repaired_aux_bits,repaired_full_bits,repaired_qubo_energy,raw_to_repaired_qubo_gap,aux_hamming_to_repaired,repaired_matches_gurobi_pool,repaired_matches_global_optimum,repaired_ip_objective_if_pool
QAOA,1,1,0.015625,444.21889999999973,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100110101000000101,110011010100000010101101010010101010,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000001011100000,110011010100000010100000001011100000,102.23249999999985,341.9863999999999,8,false,false,
QAOA,2,1,0.015625,610.1220999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100110110100100010,110011011010010001001000000001001101,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000001101011,110011011010010001000000000001101011,439.12889999999976,170.99319999999994,4,false,false,
QAOA,3,1,0.015625,645.1043999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0010010000000010000,001001000000001000010100110001001100,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,10010100011100000,001001000000001000010010100011100000,345.86629999999974,299.2381,7,false,false,
QAOA,4,1,0.015625,663.4563999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100101000111100101,110010100011110010101101011110100000,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000001000000000,110010100011110010100000001000000000,278.7216999999998,384.7347,7,false,false,
QAOA,5,1,0.015625,664.6963999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100001101011001011,110000110101100101111010000010001100,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101110000110,110000110101100101100000101110000110,151.7167999999998,512.9795999999999,8,false,false,
QAOA,6,1,0.015625,698.5631999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011000110010100011,101100011001010001100010100010001111,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100010010000011,101100011001010001100100010010000011,442.07339999999965,256.48979999999995,6,false,false,
QAOA,7,1,0.015625,740.9019999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100001010001000001,010000101000100000111101110100100001,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,10001101110000000,010000101000100000110001101110000000,441.6638999999998,299.2380999999999,7,false,false,
QAOA,8,1,0.015625,743.3400999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000110001010100001,100011000101010000100010110111011011,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,11000101011000000,100011000101010000111000101011000000,401.3536999999997,341.98639999999995,10,false,false,
QAOA,9,1,0.015625,782.2551999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0110110001001000001,011011000100100000110001100110111101,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,10001000011110000,011011000100100000110001000011110000,525.7653999999998,256.48979999999995,6,false,false,
QAOA,10,1,0.015625,788.2762999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010001101100100001,101000110110010000111000101010011001,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000100000000000,101000110110010000110000100000000000,531.7864999999997,256.48980000000006,6,false,false,
