source_csv,repaired_csv,rows,total_reads,projected_pool_reads,repaired_pool_reads,projected_global_reads,best_raw_qubo_energy,best_raw_flow_bits,best_raw_projection_match,best_repaired_qubo_energy,best_repaired_flow_bits,best_repaired_match,best_repaired_ip_objective_if_pool
ds_mfg_fixed_angle_sweep/qaoa_fac_p1_reads128_iter25_negative_gamma_distribution.csv,ds_mfg_aux_repair_analysis/ds_mfg_fixed_angle_sweep__qaoa_fac_p1_reads128_iter25_negative_gamma_distribution_repaired.csv,128,128,0,0,0,310.9549999999998,1100000000111010011,not_in_gurobi_pool,107.00049999999987,1010101000110000101,not_in_gurobi_pool,
ds_mfg_fixed_angle_sweep/qaoa_fac_p2_reads128_iter25_negative_gamma_distribution.csv,ds_mfg_aux_repair_analysis/ds_mfg_fixed_angle_sweep__qaoa_fac_p2_reads128_iter25_negative_gamma_distribution_repaired.csv,128,128,1,1,0,189.06769999999995,1001110101011100011,gurobi_pool,18.07449999999983,1001110101011100011,gurobi_pool,18.0745
ds_mfg_fixed_angle_sweep/qaoa_fac_p3_reads128_iter25_negative_gamma_distribution.csv,ds_mfg_aux_repair_analysis/ds_mfg_fixed_angle_sweep__qaoa_fac_p3_reads128_iter25_negative_gamma_distribution_repaired.csv,128,128,0,0,0,350.32629999999983,1100101100100000001,not_in_gurobi_pool,93.83649999999983,1100101100100000001,not_in_gurobi_pool,
ds_mfg_fixed_angle_sweep/qaoa_fac_p4_reads128_iter25_negative_gamma_distribution.csv,ds_mfg_aux_repair_analysis/ds_mfg_fixed_angle_sweep__qaoa_fac_p4_reads128_iter25_negative_gamma_distribution_repaired.csv,128,128,0,0,0,367.68439999999975,0000110110110000101,not_in_gurobi_pool,141.49779999999976,1100101110001100011,not_in_gurobi_pool,
ds_mfg_fixed_angle_sweep/qaoa_fac_p5_reads128_iter25_negative_gamma_distribution.csv,ds_mfg_aux_repair_analysis/ds_mfg_fixed_angle_sweep__qaoa_fac_p5_reads128_iter25_negative_gamma_distribution_repaired.csv,128,128,0,0,0,307.5889999999998,1010001100100000000,not_in_gurobi_pool,179.3440999999998,1010001100100000000,not_in_gurobi_pool,
ds_mfg_iteration_sweep/qaoa_iter10_trial1_distribution.csv,ds_mfg_aux_repair_analysis/ds_mfg_iteration_sweep__qaoa_iter10_trial1_distribution_repaired.csv,128,128,0,0,0,476.4231999999997,1100000100011000000,not_in_gurobi_pool,133.45779999999985,0010110100000010011,not_in_gurobi_pool,
ds_mfg_iteration_sweep/qaoa_iter20_trial1_distribution.csv,ds_mfg_aux_repair_analysis/ds_mfg_iteration_sweep__qaoa_iter20_trial1_distribution_repaired.csv,128,128,0,0,0,392.19759999999974,1100110000011001000,not_in_gurobi_pool,146.92179999999996,1100101110011000011,not_in_gurobi_pool,
ds_mfg_iteration_sweep/qaoa_iter3_trial1_distribution.csv,ds_mfg_aux_repair_analysis/ds_mfg_iteration_sweep__qaoa_iter3_trial1_distribution_repaired.csv,128,128,0,0,0,347.0678999999998,1001001100000000001,not_in_gurobi_pool,213.7813999999998,1010000100000000000,not_in_gurobi_pool,
ds_mfg_iteration_sweep/qaoa_iter40_trial1_distribution.csv,ds_mfg_aux_repair_analysis/ds_mfg_iteration_sweep__qaoa_iter40_trial1_distribution_repaired.csv,128,128,0,0,0,490.6461999999997,0100101100111110011,not_in_gurobi_pool,179.8826999999999,1001110100010001011,not_in_gurobi_pool,
ds_mfg_iteration_sweep/qaoa_iter5_trial1_distribution.csv,ds_mfg_aux_repair_analysis/ds_mfg_iteration_sweep__qaoa_iter5_trial1_distribution_repaired.csv,128,128,0,0,0,440.5429999999999,1000110101001101011,not_in_gurobi_pool,183.43669999999986,1001010101000001011,not_in_gurobi_pool,
ds_mfg_saved_distributions/qaoa_distribution.csv,ds_mfg_aux_repair_analysis/ds_mfg_saved_distributions__qaoa_distribution_repaired.csv,64,64,0,0,0,444.21889999999973,1100110101000000101,not_in_gurobi_pool,102.23249999999985,1100110101000000101,not_in_gurobi_pool,
ds_mfg_saved_distributions/qaoa_vqe_distribution.csv,ds_mfg_aux_repair_analysis/ds_mfg_saved_distributions__qaoa_vqe_distribution_repaired.csv,65,128,0,0,0,444.21889999999973,1100110101000000101,not_in_gurobi_pool,102.23249999999985,1100110101000000101,not_in_gurobi_pool,
ds_mfg_saved_distributions/vqe_distribution.csv,ds_mfg_aux_repair_analysis/ds_mfg_saved_distributions__vqe_distribution_repaired.csv,1,64,0,0,0,601.4761999999997,0000000000000000000,not_in_gurobi_pool,131.24489999999986,0000000000000000000,not_in_gurobi_pool,
