algorithm,source_artifact,problem,mode,settings,seed,p,optimizer_reads,final_reads,maximum_iterations,solve_time_sec,unique_states,total_reads,projected_pool_hits,encoded_pool_hits,encoded_global_hits,top50_hits,top10_hits,global_hits,gurobi_pool_feasible_hits,top50_hit_rate,top50_hit_rate_wilson95_low,top50_hit_rate_wilson95_high,top50_tts99_sec,top10_hit_rate,top10_hit_rate_wilson95_low,top10_hit_rate_wilson95_high,top10_tts99_sec,global_hit_rate,global_hit_rate_wilson95_low,global_hit_rate_wilson95_high,global_tts99_sec,gurobi_pool_feasible_hit_rate,gurobi_pool_feasible_hit_rate_wilson95_low,gurobi_pool_feasible_hit_rate_wilson95_high,gurobi_pool_feasible_tts99_sec,best_raw_qubo_energy,best_raw_flow_bits,best_raw_projection_match,best_repaired_rank,best_repaired_qubo_energy,best_repaired_match,best_repaired_flow_bits,best_repaired_aux_bits,best_repaired_full_bits
QAOA_full_qubo_fixed_angle,ds_mfg_fixed_angle_sweep/qaoa_fac_p1_reads128_iter25_negative_gamma_distribution.csv,direct_original_36_variable_qubo,cached_local_aer_emulation,angle_source=Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677;gamma_sign=-1;guarantee_3regular_maxcut=0.6925,,1,128,128,25,53.169505,128,128,0,0,0,0,0,0,0,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,310.9549999999998,1100000000111010011,not_in_gurobi_pool,,107.00049999999969,not_top50,1010101000110000101,00000100000000000,101010100011000010100000100000000000
QAOA_full_qubo_fixed_angle,ds_mfg_fixed_angle_sweep/qaoa_fac_p2_reads128_iter25_negative_gamma_distribution.csv,direct_original_36_variable_qubo,cached_local_aer_emulation,angle_source=Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677;gamma_sign=-1;guarantee_3regular_maxcut=0.7559,,2,128,128,25,246.489810,128,128,1,0,0,1,0,0,1,0.0078125,0.00138043189287,0.0429262594389,1132.31256469,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,0.0078125,0.00138043189287,0.0429262594389,1132.31256469,189.06769999999995,1001110101011100011,gurobi_pool,22,18.074499999999887,gurobi_pool,1001110101011100011,00000101010000011,100111010101110001100000101010000011
QAOA_full_qubo_fixed_angle,ds_mfg_fixed_angle_sweep/qaoa_fac_p3_reads128_iter25_negative_gamma_distribution.csv,direct_original_36_variable_qubo,cached_local_aer_emulation,angle_source=Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677;gamma_sign=-1;guarantee_3regular_maxcut=0.7924,,3,128,128,25,402.414125,128,128,0,0,0,0,0,0,0,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,350.32629999999983,1100101100100000001,not_in_gurobi_pool,,93.8364999999997,not_top50,1100101100100000001,10001001000000000,110010110010000000110001001000000000
QAOA_full_qubo_fixed_angle,ds_mfg_fixed_angle_sweep/qaoa_fac_p4_reads128_iter25_negative_gamma_distribution.csv,direct_original_36_variable_qubo,cached_local_aer_emulation,angle_source=Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677;gamma_sign=-1;guarantee_3regular_maxcut=0.8169,,4,128,128,25,532.586320,128,128,0,0,0,0,0,0,0,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,367.68439999999975,0000110110110000101,not_in_gurobi_pool,,141.49780000000004,not_top50,1100101110001100011,00000101110000011,110010111000110001100000101110000011
QAOA_full_qubo_fixed_angle,ds_mfg_fixed_angle_sweep/qaoa_fac_p5_reads128_iter25_negative_gamma_distribution.csv,direct_original_36_variable_qubo,cached_local_aer_emulation,angle_source=Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677;gamma_sign=-1;guarantee_3regular_maxcut=0.8364,,5,128,128,25,616.182460,128,128,0,0,0,0,0,0,0,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,307.5889999999998,1010001100100000000,not_in_gurobi_pool,,179.34409999999968,not_top50,1010001100100000000,10001100000000000,101000110010000000010001100000000000
QAOA_full_qubo_iteration_sweep,ds_mfg_iteration_sweep/qaoa_iter3_trial1_distribution.csv,direct_original_36_variable_qubo,cached_local_aer_emulation,trial=1;initial_parameters=4.89933001834;2.2044018228,15001,1,128,128,3,5.450504,128,128,0,0,0,0,0,0,0,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,347.0678999999998,1001001100000000001,not_in_gurobi_pool,,213.7813999999999,not_top50,1010000100000000000,10111100011000000,101000010000000000010111100011000000
QAOA_full_qubo_iteration_sweep,ds_mfg_iteration_sweep/qaoa_iter5_trial1_distribution.csv,direct_original_36_variable_qubo,cached_local_aer_emulation,trial=1;initial_parameters=1.55944101132;4.03967585672,17001,1,128,128,5,11.985919,128,128,0,0,0,0,0,0,0,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,440.5429999999999,1000110101001101011,not_in_gurobi_pool,,183.43669999999986,not_top50,1001010101000001011,00000101010000110,100101010100000101100000101010000110
QAOA_full_qubo_iteration_sweep,ds_mfg_iteration_sweep/qaoa_iter10_trial1_distribution.csv,direct_original_36_variable_qubo,cached_local_aer_emulation,trial=1;initial_parameters=0.178854343596;4.45599511068,22001,1,128,128,10,25.255036,128,128,0,0,0,0,0,0,0,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,476.4231999999997,1100000100011000000,not_in_gurobi_pool,,133.45779999999988,not_top50,0010110100000010011,00010100011100101,001011010000001001100010100011100101
QAOA_full_qubo_iteration_sweep,ds_mfg_iteration_sweep/qaoa_iter20_trial1_distribution.csv,direct_original_36_variable_qubo,cached_local_aer_emulation,trial=1;initial_parameters=4.39947126081;0.573956956638,32001,1,128,128,20,50.140460,128,128,0,0,0,0,0,0,0,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,392.19759999999974,1100110000011001000,not_in_gurobi_pool,,146.92180000000016,not_top50,1100101110011000011,00001101110000111,110010111001100001100001101110000111
QAOA_full_qubo_iteration_sweep,ds_mfg_iteration_sweep/qaoa_iter40_trial1_distribution.csv,direct_original_36_variable_qubo,cached_local_aer_emulation,trial=1;initial_parameters=3.3998556911;5.3535782272,52001,1,128,128,40,76.710181,128,128,0,0,0,0,0,0,0,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,490.6461999999997,0100101100111110011,not_in_gurobi_pool,,179.8826999999999,not_top50,1001110100010001011,00010101010000110,100111010001000101100010101010000110
