p,optimizer_reads,final_reads,maximum_iterations,initial_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],1,1,0.001953125,104.91250000000002,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000101110000011,110010111001110001100000101110000011,62.16420000000005,42.7483000000002,3,,1100101110011100011,110010111001110001100000101101000001,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],2,1,0.001953125,142.7587999999999,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10001100000000000,101010110011000000110001100000000000,100.01049999999987,42.74830000000003,1,,1010101100110000001,101010110011000000110001000000000000,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],3,1,0.001953125,142.79539999999992,0.0,gurobi_pool,gurobi_pool,projection_only_gurobi_pool,false,00000101010000011,100111011001110001100000101010000011,14.550499999999943,128.24489999999997,9,14.5505,1001110110011100011,100111011001110001101000010101000101,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],4,1,0.001953125,183.23469999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000000000001110,100101010011100101100000000000001110,97.7380999999998,85.49660000000006,2,,1001010100111001011,100101010011100101100010000000011110,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],5,1,0.001953125,188.1001,0.0,gurobi_pool,gurobi_pool,projection_only_gurobi_pool,false,00000001000000110,110010110011100101100000001000000110,17.106899999999996,170.9932,6,17.1069,1100101100111001011,110010110011100101100000000101101111,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],6,1,0.001953125,195.3271000000001,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000101110000000,110010111001000010100000101110000000,67.08220000000017,128.24489999999992,5,,1100101110010000101,110010111001000010100000010110010100,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],7,1,0.001953125,221.30739999999992,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00001100011100111,101011011000000001100001100011100111,93.06249999999977,128.24489999999992,3,,1010110110000000011,101011011000000001100000110111100111,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],8,1,0.001953125,223.3789999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10001000000001000,100111010011100000010001000000001000,95.13409999999988,128.24489999999992,3,,1001110100111000000,100111010011100000010000000000000010,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],9,1,0.001953125,224.97649999999993,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01010101011000011,000011010001110001101010101011000011,139.47989999999987,85.49659999999994,6,,0000110100011100011,000011010001110001100010010110000011,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],10,1,0.001953125,225.50849999999997,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01010101011000110,000011010001100101101010101011000110,140.0118999999999,85.49659999999983,2,,0000110100011001011,000011010001100101100010101011100110,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],11,1,0.001953125,226.9233999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00010001011100000,110011010001000010100010001011100000,98.67849999999987,128.24489999999992,3,,1100110100010000101,110011010001000010110000001011000000,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],12,1,0.001953125,230.24649999999974,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01000000010001000,100011010011000010101000000010001000,102.00159999999983,128.24489999999992,3,,1000110100110000101,100011010011000010101100000010000001,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],13,1,0.001953125,231.09639999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10001111010000000,101010111001100000110001111010000000,145.59980000000002,85.49659999999994,2,,1010101110011000001,101010111001100000110000111010000001,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],14,1,0.001953125,234.69349999999986,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01100101011000011,000010010101110001101100101011000011,234.69349999999974,0.0,0,,0000100101011100011,000010010101110001101100101011000011,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],15,1,0.001953125,236.11639999999989,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000001011100000,010011011001000010100000001011100000,65.12319999999988,170.9931999999999,6,,0100110110010000101,010011011001000010110000010111000010,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],16,1,0.001953125,236.61040000000014,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000001000000101,110010111011101001100000001000000101,151.11379999999997,85.49659999999994,4,,1100101110111010011,110010111011101001100000000110000111,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],17,1,0.001953125,264.10829999999993,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00011101010000111,100111010001100001100011101010000111,178.61169999999987,85.49660000000006,8,,1001110100011000011,100111010001100001100010010101000011,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],18,1,0.001953125,264.7836999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000001011100011,110011011000110001100000001011100011,93.79049999999978,170.99320000000006,4,,1100110110001100011,110011011000110001100001101010100001,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],19,1,0.001953125,266.0047999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,11001000010001000,100011010011100000111001000010001000,180.50819999999976,85.49659999999994,2,,1000110100111000001,100011010011100000111000000010001001,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],20,1,0.001953125,267.4336999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000001000000110,110010110010100101100000001000000110,96.44049999999982,170.9932,6,,1100101100101001011,110010110010100101101101000100000100,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],21,1,0.001953125,267.7247999999999,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01010101011000011,000001000001110001101010101011000011,139.47989999999987,128.24490000000003,3,,0000010000011100011,000001000001110001100000101010000011,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],22,1,0.001953125,267.8257999999999,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01010101011000101,000011010001101001101010101011000101,139.58089999999987,128.24489999999992,5,,0000110100011010011,000011010001101001101011011011001100,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],23,1,0.001953125,270.33779999999985,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01001000010001111,000011010011100001101001000010001111,142.0928999999997,128.24490000000014,3,,0000110100111000011,000011010011100001101100000010001110,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],24,1,0.001953125,271.0476999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000001011100101,110011011001101001000000001011100101,100.05449999999985,170.99319999999994,6,,1100110110011010010,110011011001101001000110101011010100,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],25,1,0.001953125,271.19929999999965,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000000000001011,000111010011110001100000000000001011,57.45779999999979,213.74149999999997,5,,0001110100111100011,000111010011110001100110000000101000,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],26,1,0.001953125,272.3986999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10001001011100000,110011010101100000110001001011100000,101.40549999999996,170.99319999999994,8,,1100110101011000001,110011010101100000110000000101010011,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],27,1,0.001953125,273.7426999999999,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00001100011100111,101011010101100001100001100011100111,102.74949999999973,170.99319999999994,4,,1010110101011000011,101011010101100001100010110010100111,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],28,1,0.001953125,274.9737999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01000101011000110,100011010101100101101000101011000110,103.98059999999975,170.99319999999983,4,,1000110101011001011,100011010101100101100000000011000010,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],29,1,0.001953125,275.2897999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01000101011000100,000011011001101101101000101011000100,189.79319999999962,85.49660000000017,6,,0000110110011011011,000011011001101101101010010111000101,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],30,1,0.001953125,275.99479999999977,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01000000010001000,000011010011000010001000000010001000,147.7498999999998,128.24489999999997,3,,0000110100110000100,000011010011000010001101000010000000,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],31,1,0.001953125,280.83469999999994,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000111010100000,101011111001000010100000111010100000,152.58980000000008,128.24489999999986,3,,1010111110010000101,101011111001000010110000111010110010,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],32,1,0.001953125,305.42999999999984,5.684341886080802e-14,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10011001011100000,110011010001100000110011001011100000,177.1850999999998,128.24489999999997,5,,1100110100011000001,110011010001100000111010000111100010,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],33,1,0.001953125,305.42999999999984,5.684341886080802e-14,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10011001011100000,110011010001000000110011001011100000,177.1850999999998,128.24489999999997,3,,1100110100010000001,110011010001000000110010001011100110,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],34,1,0.001953125,307.6139999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00010100011100101,101011000001101001100010100011100101,93.87249999999977,213.74149999999992,5,,1010110000011010011,101011000001101001100100000010100100,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],35,1,0.001953125,308.5235999999998,5.684341886080802e-14,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10011101010000000,000111010001000000010011101010000000,223.02699999999982,85.49659999999994,4,,0001110100010000000,000111010001000000010001100110000100,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],36,1,0.001953125,308.5300999999999,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01011111110000111,000000110000000001101011111110000111,223.03349999999978,85.49660000000011,2,,0000001100000000011,000000110000000001101010101110000111,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],37,1,0.001953125,308.75309999999973,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,11001000010001000,100011010011100000111001000010001000,180.50819999999976,128.24489999999997,5,,1000110100111000001,100011010011100000100000000001001000,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],38,1,0.001953125,310.4105999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00001101010000111,100111010100000001100001101010000111,96.66909999999984,213.74149999999997,5,,1001110101000000011,100111010100000001110100101010001011,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],39,1,0.001953125,313.2880999999999,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01001101011000111,000011010100000001101001101011000111,142.29489999999987,170.9932,4,,0000110101000000011,000011010100000001100000101001000101,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],40,1,0.001953125,313.7409999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10001001000000000,110010110011000000110001001000000000,99.9994999999999,213.74149999999992,5,,1100101100110000001,110010110011000000101101001000101000,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],41,1,0.001953125,315.3910999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01010101011000000,000011000001000010101010101011000000,144.39789999999988,170.99319999999994,6,,0000110000010000101,000011000001000010100001100111001000,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],42,1,0.001953125,316.04959999999994,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00001101010000111,000111011001100001100001101010000111,145.05639999999983,170.99320000000012,6,,0001110110011000011,000111011001100001101001001101000110,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],43,1,0.001953125,316.57359999999994,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00001101010000111,100101010101100001100001101010000111,188.32869999999986,128.24489999999986,5,,1001010101011000011,100101010101100001100001010000001111,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],44,1,0.001953125,316.74099999999976,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10001001000000000,010010110011000000010001001000000000,145.7477999999998,170.99319999999994,6,,0100101100110000000,010010110011000000000000100100000100,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],45,1,0.001953125,317.22699999999986,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000001011100110,010011001001100101100000001011100110,146.2337999999998,170.99319999999994,6,,0100110010011001011,010011001001100101100000100110110100,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],46,1,0.001953125,318.04509999999993,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01001101000000111,000010110011100001101001101000000111,189.8001999999998,128.24489999999992,5,,0000101100111000011,000010110011100001100000011000001111,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],47,1,0.001953125,318.1180999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,11001101011000000,000011010101100000111001101011000000,147.1248999999998,170.9932,8,,0000110101011000001,000011010101100000110100010111000010,true,single,36,1.0e-10,64
