angle_source,p,number_of_reads,maximum_iterations,gamma_sign,guarantee_3regular_maxcut,initial_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],1,1,0.0078125,189.06769999999995,1.1368683772161603e-13,gurobi_pool,gurobi_pool,projection_only_gurobi_pool,false,00000101010000011,100111010101110001100000101010000011,18.07449999999983,170.99320000000012,4,18.0745,1001110101011100011,100111010101110001101000101110010001,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],2,1,0.0078125,227.4593999999999,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100110010010000011,110011001001000001100001001011100011,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],3,1,0.0078125,235.9534000000001,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010101101010000011,101010110101000001100000111010100111,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],4,1,0.0078125,262.8217000000001,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010101100000000011,101010110000000001101010110101010111,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],5,1,0.0078125,300.6109999999999,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010110100001000011,101011010000100001100010010011011110,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],6,1,0.0078125,316.57359999999994,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001110101011000011,100111010101100001100001111101100100,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],7,1,0.0078125,346.4418999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0001110000001000011,000111000000100001100010010110000010,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],8,1,0.0078125,348.18929999999983,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010110100011000001,101011010001100000100001100011011100,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],9,1,0.0078125,349.5112999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100010100011000011,110001010001100001100010000011100111,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],10,1,0.0078125,352.48239999999987,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000110100010000011,000011010001000001101000100111000011,true,single,36,1.0e-10,64
