angle_source,p,number_of_reads,maximum_iterations,gamma_sign,guarantee_3regular_maxcut,initial_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],1,1,0.0078125,367.68439999999975,5.684341886080802e-14,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000110110110000101,000011011011000010101000000010010011,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],2,1,0.0078125,397.9876,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100101110001100011,110010111000110001100101101111100110,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],3,1,0.0078125,400.5940999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1101110110110000001,110111011011000000110001000000011000,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],4,1,0.0078125,405.1371999999999,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0001001101001001011,000100110100100101100000011000000110,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],5,1,0.0078125,410.43269999999984,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000110110110000101,000011011011000010111001000000001110,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],6,1,0.0078125,437.36239999999964,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011110101001000001,101111010100100000110000010101101000,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],7,1,0.0078125,438.7574999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001101110000000000,100110111000000000000000101000000101,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],8,1,0.0078125,442.4608999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100101100000000101,010010110000000010100000010101011000,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],9,1,0.0078125,446.5318999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0010101101000000010,001010110100000001001000011001000101,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],10,1,0.0078125,496.25919999999985,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100101101000000111,010010110100000011100101010110100111,true,single,36,1.0e-10,64
