angle_source,p,number_of_reads,maximum_iterations,gamma_sign,guarantee_3regular_maxcut,initial_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],1,1,0.0078125,307.5889999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010001100100000000,101000110010000000010000010001000010,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],2,1,0.0078125,315.46299999999985,5.684341886080802e-14,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100110110010010001,010011011001001000110010001011010000,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],3,1,0.0078125,397.2530999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011110110010000000,101111011001000000010010010000101000,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],4,1,0.0078125,430.8748999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010010100100000001,101001010010000000110000001001101010,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],5,1,0.0078125,433.82739999999967,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1101110110001000000,110111011000100000010000010010010000,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],6,1,0.0078125,439.9614999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001110010010000001,100111001001000000110000011011110000,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],7,1,0.0078125,441.99689999999975,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010001000111000001,101000100011100000100010010000000001,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],8,1,0.0078125,442.8128999999998,5.684341886080802e-14,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100001100101000101,110000110010100010110000001100000000,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],9,1,0.0078125,484.2887999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001010110011110001,100101011001111000110000101001000000,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],10,1,0.0078125,484.7451999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010001000110000000,101000100011000000010010010010010010,true,single,36,1.0e-10,64
