rank,ip_obj_value,flow_bits,retained_pool_solution_id,retained_pool_obj_value,operating_modes
1,11.7095,1001110100111100011,1,11.7095,batch;batch;batch;cont1
2,11.8105,1001110100111010011,2,11.8105,batch;batch;batch;cont2
3,12.2415,1001110100111001011,3,12.2415,batch;batch;batch;cont3
4,14.4569,1100110110011100011,4,14.456900000000001,PFR;PFR;batch;cont1
5,14.4679,1010110110011100011,5,14.4679,CSTR;PFR;batch;cont1
6,14.5505,1001110110011100011,6,14.5505,batch;PFR;batch;cont1
7,14.5579,1100110110011010011,7,14.5579,PFR;PFR;batch;cont2
8,14.5689,1010110110011010011,8,14.5689,CSTR;PFR;batch;cont2
9,14.6515,1001110110011010011,9,14.651499999999999,batch;PFR;batch;cont2
10,14.9889,1100110110011001011,10,14.9889,PFR;PFR;batch;cont3
11,14.9999,1010110110011001011,11,14.9999,CSTR;PFR;batch;cont3
12,15.0825,1001110110011001011,12,15.0825,batch;PFR;batch;cont3
13,16.5749,1100101100111100011,13,16.5749,PFR;batch;batch;cont1
14,16.5859,1010101100111100011,14,16.5859,CSTR;batch;batch;cont1
15,16.6275,1001110100110000101,15,16.6275,batch;batch;batch;batchU
16,16.6759,1100101100111010011,16,16.6759,PFR;batch;batch;cont2
17,16.6869,1010101100111010011,17,16.686899999999998,CSTR;batch;batch;cont2
18,17.1069,1100101100111001011,18,17.1069,PFR;batch;batch;cont3
19,17.1179,1010101100111001011,19,17.1179,CSTR;batch;batch;cont3
20,17.9809,1100110101011100011,20,17.980900000000002,PFR;CSTR;batch;cont1
21,17.9919,1010110101011100011,21,17.9919,CSTR;CSTR;batch;cont1
22,18.0745,1001110101011100011,22,18.0745,batch;CSTR;batch;cont1
23,18.0819,1100110101011010011,23,18.0819,PFR;CSTR;batch;cont2
24,18.0929,1010110101011010011,24,18.0929,CSTR;CSTR;batch;cont2
25,18.1755,1001110101011010011,25,18.175500000000003,batch;CSTR;batch;cont2
26,18.5129,1100110101011001011,26,18.512900000000002,PFR;CSTR;batch;cont3
27,18.5239,1010110101011001011,27,18.5239,CSTR;CSTR;batch;cont3
28,18.6065,1001110101011001011,28,18.6065,batch;CSTR;batch;cont3
29,19.3749,1100110110010000101,29,19.3749,PFR;PFR;batch;batchU
30,19.3859,1010110110010000101,30,19.3859,CSTR;PFR;batch;batchU
31,19.4685,1001110110010000101,31,19.4685,batch;PFR;batch;batchU
32,21.4929,1100101100110000101,32,21.492900000000002,PFR;batch;batch;batchU
33,21.5039,1010101100110000101,33,21.503899999999998,CSTR;batch;batch;batchU
34,22.8989,1100110101010000101,34,22.8989,PFR;CSTR;batch;batchU
35,22.9099,1010110101010000101,35,22.9099,CSTR;CSTR;batch;batchU
36,22.9925,1001110101010000101,36,22.9925,batch;CSTR;batch;batchU
