source_summary,algorithm,run_label,time_basis_column,time_basis_sec,event,hits,total_reads,hit_rate,hit_rate_wilson95_low,hit_rate_wilson95_high,tts95_sec
ds_mfg_qaoa_juliqaoa_transfer/qaoa_juliqaoa_transfer_summary.csv,QAOA_reduced_surrogate_JuliQAOA_transfer,angle_target=energy;p=2;seed=92001;optimizer_reads=16;final_reads=32768;maximum_iterations=0,solve_time_sec,12.163851327,top50,699,32768,0.0213317871094,0.019822557495,0.022953234051,0.051598368361
ds_mfg_qaoa_juliqaoa_transfer/qaoa_juliqaoa_transfer_summary.csv,QAOA_reduced_surrogate_JuliQAOA_transfer,angle_target=energy;p=2;seed=92001;optimizer_reads=16;final_reads=32768;maximum_iterations=0,solve_time_sec,12.163851327,top10,158,32768,0.00482177734375,0.00412759507629,0.00563204748827,0.230150995567
ds_mfg_qaoa_juliqaoa_transfer/qaoa_juliqaoa_transfer_summary.csv,QAOA_reduced_surrogate_JuliQAOA_transfer,angle_target=energy;p=2;seed=92001;optimizer_reads=16;final_reads=32768;maximum_iterations=0,solve_time_sec,12.163851327,global,16,32768,0.00048828125,0.000300589644611,0.000793076662353,2.27701001098
ds_mfg_qaoa_juliqaoa_transfer/qaoa_juliqaoa_transfer_summary.csv,QAOA_reduced_surrogate_JuliQAOA_transfer,angle_target=energy;p=3;seed=92001;optimizer_reads=16;final_reads=32768;maximum_iterations=0,solve_time_sec,16.273471669,top50,1608,32768,0.049072265625,0.0467857447978,0.0514645003972,0.0297976165814
ds_mfg_qaoa_juliqaoa_transfer/qaoa_juliqaoa_transfer_summary.csv,QAOA_reduced_surrogate_JuliQAOA_transfer,angle_target=energy;p=3;seed=92001;optimizer_reads=16;final_reads=32768;maximum_iterations=0,solve_time_sec,16.273471669,top10,316,32768,0.0096435546875,0.00864140915428,0.0107606576969,0.153954352337
ds_mfg_qaoa_juliqaoa_transfer/qaoa_juliqaoa_transfer_summary.csv,QAOA_reduced_surrogate_JuliQAOA_transfer,angle_target=energy;p=3;seed=92001;optimizer_reads=16;final_reads=32768;maximum_iterations=0,solve_time_sec,16.273471669,global,23,32768,0.000701904296875,0.000467781784711,0.00105308053495,2.11910716588
ds_mfg_qaoa_juliqaoa_transfer/qaoa_juliqaoa_transfer_summary.csv,QAOA_reduced_surrogate_JuliQAOA_transfer,angle_target=energy;p=4;seed=92001;optimizer_reads=16;final_reads=32768;maximum_iterations=0,solve_time_sec,23.760740064,top50,3603,32768,0.109954833984,0.106613279693,0.113387829121,0.0188531262715
ds_mfg_qaoa_juliqaoa_transfer/qaoa_juliqaoa_transfer_summary.csv,QAOA_reduced_surrogate_JuliQAOA_transfer,angle_target=energy;p=4;seed=92001;optimizer_reads=16;final_reads=32768;maximum_iterations=0,solve_time_sec,23.760740064,top10,791,32768,0.0241394042969,0.0225325394566,0.0258578282563,0.0891897896689
ds_mfg_qaoa_juliqaoa_transfer/qaoa_juliqaoa_transfer_summary.csv,QAOA_reduced_surrogate_JuliQAOA_transfer,angle_target=energy;p=4;seed=92001;optimizer_reads=16;final_reads=32768;maximum_iterations=0,solve_time_sec,23.760740064,global,64,32768,0.001953125,0.00152994207109,0.00249306832295,1.11160932978
ds_mfg_qaoa_juliqaoa_transfer/qaoa_juliqaoa_transfer_summary.csv,QAOA_reduced_surrogate_JuliQAOA_transfer,angle_target=energy;p=5;seed=92001;optimizer_reads=16;final_reads=32768;maximum_iterations=0,solve_time_sec,29.37403103,top50,4931,32768,0.150482177734,0.146651901592,0.154394393631,0.0170320614493
ds_mfg_qaoa_juliqaoa_transfer/qaoa_juliqaoa_transfer_summary.csv,QAOA_reduced_surrogate_JuliQAOA_transfer,angle_target=energy;p=5;seed=92001;optimizer_reads=16;final_reads=32768;maximum_iterations=0,solve_time_sec,29.37403103,top10,1119,32768,0.0341491699219,0.0322367497728,0.0361708025351,0.077988912952
ds_mfg_qaoa_juliqaoa_transfer/qaoa_juliqaoa_transfer_summary.csv,QAOA_reduced_surrogate_JuliQAOA_transfer,angle_target=energy;p=5;seed=92001;optimizer_reads=16;final_reads=32768;maximum_iterations=0,solve_time_sec,29.37403103,global,96,32768,0.0029296875,0.00239990414142,0.00357600231067,0.916145621114
