algorithm,trial,seed,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,number_of_reads,maximum_iterations,number_of_layers,initial_parameters,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
QAOA,1,32001,1,1,0.0078125,392.19759999999974,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100110000011001000,110011000001100100000000101011101000,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,2,1,0.0078125,403.4116,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100101110011000011,110010111001100001101010011100010110,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,3,1,0.0078125,449.02349999999973,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001110110010100111,100111011001010011100111010101010011,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,4,1,0.0078125,449.62189999999987,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100101001011001001,110010100101100100100000100110100100,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,5,1,0.0078125,486.85879999999975,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001010100111000101,100101010011100010101110001000001111,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,6,1,0.0078125,495.0307999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001110111010001011,100111011101000101110000010111110110,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,7,1,0.0078125,525.0640999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001001100011010001,100100110001101000110110111100000101,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,8,1,0.0078125,533.6490999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0001010101000010101,000101010100001010100000000100001000,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,9,1,0.0078125,562.4517999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100110100100101011,110011010010010101100010000101001100,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,10,1,0.0078125,581.4058,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010001110010000111,101000111001000011101011010100100110,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
