p,sigma,trial,seed,number_of_reads,maximum_iterations,initial_parameters,base_fixed_angle_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],1,1,0.0078125,274.6652999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000101010000101,100111010101001001100000101010000101,103.67209999999977,170.9932,4,,1001110101010010011,100111010101001001100001101010000010,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],2,1,0.0078125,401.91459999999984,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10000001011100000,110001010101100100110000001011100000,230.9213999999999,170.99319999999994,6,,1100010101011001001,110001010101100100111011000111100010,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],3,1,0.0078125,471.60419999999976,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00011100011100111,101011010000000001100011100011100111,86.86949999999968,384.7347000000001,9,,1010110100000000011,101011010000000001101101010000000101,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],4,1,0.0078125,483.4487999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10000101010000000,100111001001010000110000101010000000,312.4555999999998,170.99319999999994,8,,1001110010010100001,100111001001010000100010010100001000,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],5,1,0.0078125,519.9404999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10000001011100000,110001011000010000110000001011100000,306.1989999999997,213.74149999999997,5,,1100010110000100001,110001011000010000100000001000010000,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],6,1,0.0078125,568.3747999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00110100011000100,001010000001101101100110100011000100,311.88499999999976,256.48980000000006,4,,0010100000011011011,001010000001101101101111000010000100,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],7,1,0.0078125,569.0107999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10000000010101000,010011010011010000010000000010101000,312.52099999999973,256.48979999999995,6,,0100110100110100000,010011010011010000001011000000100000,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],8,1,0.0078125,571.6367999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10101001011000000,110000000101000000110101001011000000,229.65039999999982,341.98639999999983,6,,1100000001010000001,110000000101000000111001111001010000,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],9,1,0.0078125,572.5237999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000111010000110,001000101000100101100000111010000110,358.7822999999998,213.74150000000014,5,,0010001010001001011,001000101000100101101000011011000000,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],10,1,0.0078125,573.0412999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10000100010100000,101111010101100100110000100010100000,273.80319999999983,299.2380999999999,9,,1011110101011001001,101111010101100100101010001001010000,true,single,36,1.0e-10,64
