target,p,seed,basinhopping_niter,energy_shift,energy_scale,juliqaoa_expected_surrogate_energy,juliqaoa_expected_normalized_energy,top50_probability,top10_probability,global_probability,best_top50_rank_by_probability,best_top50_probability,best_top50_exact_repaired_qubo_energy,best_top50_flow_bits,most_probable_flow_bits,most_probable_probability,most_probable_surrogate_energy,surrogate_min_flow_bits,surrogate_min_probability,surrogate_min_energy,normalized_angles_beta_then_gamma,qiskit_angles_beta_then_gamma
top50,1,91001,5,970.8520562499996,474.622688710029,473.5673042079912,-1.0477475347703362,0.012958449097612231,0.0028149982683862386,0.00024890925168300545,6,0.00031397387330503603,14.550499999999772,1001110110011100011,1001110110011100011,0.00031397387330503603,-14.838956249999,1001110110011100011,0.00031397387330503603,-14.838956249999,2.7482359698777641;2.7984963571844395,2.7482359698777641;0.0058962549067985712
top50,2,91001,5,970.8520562499996,474.622688710029,269.13100545039435,-1.478481892019934,0.029915537433759538,0.0061378857003914515,0.00047148001985068385,32,0.0008740868209737115,21.492899999999736,1100101100110000101,1001110100000000011,0.000957193797483808,89.62386874999629,1001110110011100011,0.0007372637158475675,-14.838956249999,2.7451953568714829;2.9408676425841125;1.6062733189628584;4.7415260227661769,2.7451953568714829;2.9408676425841125;0.0033843163362639243;0.0099900955760313746
top50,3,91001,5,970.8520562499996,474.622688710029,266.7795484007099,-1.4834362633671383,0.09853332159628017,0.021786882072571217,0.001368307392814863,13,0.003429225574993355,16.574900000000014,1100101100111100011,1100101100111100011,0.003429225574993355,8.559593749997475,1001110110011100011,0.002740242624112343,-14.838956249999,2.6395107989364281;2.8472232175318624;2.8788564897188933;2.4473335503294962;6.6962219769482418;8.3379439900672558,2.6395107989364281;2.8472232175318624;2.8788564897188933;0.0051563770728725016;0.014108516377815437;0.017567520871639843
top50,4,91001,5,970.8520562499996,474.622688710029,216.33644775390775,-1.5897166874739044,0.14959968120148412,0.033490564649311994,0.0022570414788778735,13,0.004302196546432605,16.574900000000014,1100101100111100011,1100101100111100011,0.004302196546432605,8.559593749997475,1001110110011100011,0.0040458170749829445,-14.838956249999,2.6001491910825458;2.8469645813641633;2.8489116539477055;2.9287061753996331;1.5713594518344554;4.628388898967505;7.1116794174926552;8.3228123136508572,2.6001491910825458;2.8469645813641633;2.8489116539477055;2.9287061753996331;0.0033107550254397513;0.0097517228085891652;0.014983858940290862;0.017535639386038041
top50,5,91001,5,970.8520562499996,474.622688710029,201.33182623953684,-1.621330476429391,0.23122699481130704,0.0522370454529187,0.003392140410350963,32,0.006729905141935017,21.492899999999736,1100101100110000101,1100101100110000101,0.006729905141935017,13.477593750000096,1001110110011100011,0.006112832982494507,-14.838956249999,2.2111083481029152;2.6047049067473202;2.8162752836740781;2.8606684475380448;2.9379420353125094;0.83141387309693349;2.1840496949900667;5.262629649410127;6.9161282723175654;8.1674198310175292,2.2111083481029152;2.6047049067473202;2.8162752836740781;2.8606684475380448;2.9379420353125094;0.0017517364695662204;0.0046016546341812433;0.01108802797378558;0.014571845039930186;0.017208237248867424
top10,1,91001,5,970.8520562499996,474.622688710029,466.93184971487375,-1.0617280179013722,0.012950530374889954,0.0028168526257974784,0.00024957120835960065,6,0.00031380080775782096,14.550499999999772,1001110110011100011,1001110110011100011,0.00031380080775782096,-14.838956249999,1001110110011100011,0.00031380080775782096,-14.838956249999,2.7492031647362154;2.7686026152701499,2.7492031647362154;0.0058332706824338713
top10,2,91001,5,970.8520562499996,474.622688710029,269.00683317977274,-1.4787435151441028,0.029823429487238404,0.006158056487730542,0.0004798583553646492,32,0.0008523216866369722,21.492899999999736,1100101100110000101,1001110100000000011,0.0008916466633123656,89.62386874999629,1001110110011100011,0.0007347097669529094,-14.838956249999,2.7497369317141556;2.9479253703230923;1.6044817193215879;4.6526159691922917,2.7497369317141556;2.9479253703230923;0.0033805415490826794;0.0098027677139446868
top10,3,91001,5,970.8520562499996,474.622688710029,289.7200692625531,-1.4351020361851359,0.09732895136702047,0.02202098568022076,0.001357941714405205,13,0.0034435571998057382,16.574900000000014,1100101100111100011,1100101100111100011,0.0034435571998057382,8.559593749997475,1001110110011100011,0.00279922386286652,-14.838956249999,2.6427907056082893;2.8326685379685572;2.8602643972950017;2.5401121995535965;6.7720917912958214;8.0010506353706319,2.6427907056082893;2.8326685379685572;2.8602643972950017;0.0053518558214259316;0.01426836928024154;0.016857707871312654
top10,4,91001,5,970.8520562499996,474.622688710029,235.88628940805816,-1.5485264070275893,0.14774660851986016,0.03392796860547413,0.0023099550908399803,13,0.004235502222073682,16.574900000000014,1100101100111100011,1100101100111100011,0.004235502222073682,8.559593749997475,1001110110011100011,0.004066569832818894,-14.838956249999,2.5772903600280159;2.8407957665625037;2.8373987070117801;2.9229824255617101;1.6083179052392977;4.8990510827696427;6.9148526384129907;8.0073715429697003,2.5772903600280159;2.8407957665625037;2.8373987070117801;2.9229824255617101;0.0033886241502919393;0.01032199091890173;0.014569157359937386;0.01687102562402323
top10,5,91001,5,970.8520562499996,474.622688710029,212.52118241477652,-1.59775521034666,0.22967538871326482,0.05261172053991265,0.003456748192282216,32,0.006442875189517071,21.492899999999736,1100101100110000101,1100101100110000101,0.006442875189517071,13.477593750000096,1001110110011100011,0.006122463937554938,-14.838956249999,2.2387937211627236;2.5932396667722366;2.8110001513671445;2.8583187234663705;2.9386720342737087;0.87823386387842128;2.2344762562190366;5.362691490648821;6.8269598254870347;7.9853833794779083,2.2387937211627236;2.5932396667722366;2.8110001513671445;2.8583187234663705;2.9386720342737087;0.0018503832302357098;0.0047079002107802545;0.011298851947478558;0.014383972759587077;0.016824697953612966
