algorithm,p,optimizer_reads,final_reads,maximum_iterations,initial_parameters,qiskit_parameter_names,result,reads,probability,surrogate_qubo_energy,exact_repaired_qubo_energy,match,matched_ip_obj,flow_bits,repaired_aux_bits,repaired_full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],229,2,0.00390625,776.0489937499931,784.0642999999998,not_in_gurobi_pool,,1100011100010011010,00010101110100100,110001110001001101000010101110100100,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],1,1,0.001953125,105.41026875000307,102.73849999999999,not_in_gurobi_pool,,1100110101011000011,00001001011100111,110011010101100001100001001011100111,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],2,1,0.001953125,139.44166874999928,136.76989999999975,not_in_gurobi_pool,,0000110100100010011,01000000010001101,000011010010001001101000000010001101,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],3,1,0.001953125,144.33024375000582,173.71969999999988,not_in_gurobi_pool,,1001100000000001011,00110101010000110,100110000000000101100110101010000110,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],7,1,0.001953125,171.24179374999903,179.25709999999975,not_in_gurobi_pool,,1100110100010100011,00010001011100011,110011010001010001100010001011100011,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],4,1,0.001953125,165.5027187499834,184.20509999999987,not_in_gurobi_pool,,1100010110000000101,00000001011100000,110001011000000010100000001011100000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],5,1,0.001953125,168.65571874999137,187.35809999999992,not_in_gurobi_pool,,0010101110000010011,00000111010000101,001010111000001001100000111010000101,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],6,1,0.001953125,170.5918187500156,189.29419999999976,not_in_gurobi_pool,,0000101100100000101,01000101000000000,000010110010000010101000101000000000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],8,1,0.001953125,199.96486874998868,197.29309999999998,not_in_gurobi_pool,,0100101110111001011,00000001000000110,010010111011100101100000001000000110,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],12,1,0.001953125,224.93826874999627,222.2664999999997,not_in_gurobi_pool,,0000110000100010011,01000000010001101,000011000010001001101000000010001101,true,single,36,1.0e-10,64
