,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
x1,0.0,-85.49659999999585,-85.49659999999903,-85.49660000000085,-9.094947017729282e-13,1.8189894035458565e-12,1.3642420526593924e-12,1.3642420526593924e-12,1.8189894035458565e-12,9.094947017729282e-13,1.8189894035458565e-12,-4.547473508864641e-13,9.094947017729282e-13,-9.094947017729282e-13,1.8189894035458565e-12,9.094947017729282e-13,0.0,3.183231456205249e-12,4.547473508864641e-12
x2,0.0,0.0,256.48980000000483,235.11565000000155,-85.49659999999903,21.374150000005102,-21.37415000000101,2.7284841053187847e-12,3.637978807091713e-12,3.637978807091713e-12,21.374150000000554,9.094947017729282e-13,9.094947017729282e-13,1.8189894035458565e-12,3.637978807091713e-12,9.094947017729282e-13,1.8189894035458565e-12,1.3642420526593924e-12,3.183231456205249e-12
x3,0.0,0.0,0.0,235.115649999997,-85.49660000000222,21.374150000000554,-21.37414999999919,0.0,1.8189894035458565e-12,1.8189894035458565e-12,21.374149999998735,9.094947017729282e-13,0.0,9.094947017729282e-13,3.637978807091713e-12,9.094947017729282e-13,1.8189894035458565e-12,-4.547473508864641e-13,4.547473508864641e-13
x4,0.0,0.0,0.0,0.0,-85.49660000000222,9.094947017729282e-13,21.37415000000101,-9.094947017729282e-13,0.0,-9.094947017729282e-13,21.374149999996007,-1.8189894035458565e-12,-2.7284841053187847e-12,-9.094947017729282e-13,-1.8189894035458565e-12,-2.7284841053187847e-12,-3.637978807091713e-12,-4.547473508864641e-13,4.547473508864641e-13
x5,0.0,0.0,0.0,0.0,0.0,-85.4966000000004,-85.49660000000222,-2.2737367544323206e-12,-2.2737367544323206e-12,-4.547473508864641e-13,-2.7284841053187847e-12,-4.092726157978177e-12,-3.183231456205249e-12,-2.7284841053187847e-12,-9.094947017729282e-13,-3.637978807091713e-12,-4.547473508864641e-12,-1.3642420526593924e-12,-1.3642420526593924e-12
x6,0.0,0.0,0.0,0.0,0.0,0.0,213.74150000000054,-85.49659999999767,3.637978807091713e-12,2.7284841053187847e-12,42.7483000000002,4.547473508864641e-13,1.3642420526593924e-12,0.0,9.094947017729282e-13,-1.8189894035458565e-12,-2.7284841053187847e-12,3.183231456205249e-12,4.092726157978177e-12
x7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.49660000000085,1.3642420526593924e-12,4.547473508864641e-13,-21.37414999999919,-3.637978807091713e-12,-1.8189894035458565e-12,-4.092726157978177e-12,-4.547473508864641e-13,-2.2737367544323206e-12,-2.2737367544323206e-12,-4.547473508864641e-13,4.547473508864641e-13
x8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.49660000000222,-85.49659999999722,-85.49659999999994,-3.183231456205249e-12,-4.547473508864641e-13,-9.094947017729282e-13,0.0,-1.8189894035458565e-12,-1.8189894035458565e-12,-4.547473508864641e-13,4.547473508864641e-13
x9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.11565000000155,235.11565000000155,-85.49660000000085,-9.094947017729282e-13,-2.7284841053187847e-12,9.094947017729282e-13,-2.7284841053187847e-12,-3.637978807091713e-12,-1.3642420526593924e-12,-4.547473508864641e-13
x10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.115649999997,-85.49659999999858,2.7284841053187847e-12,0.0,9.094947017729282e-13,0.0,-9.094947017729282e-13,5.002220859751105e-12,5.9117155615240335e-12
x11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.49660000000176,-9.094947017729282e-13,-2.7284841053187847e-12,-3.637978807091713e-12,-3.637978807091713e-12,-4.547473508864641e-12,4.547473508864641e-13,4.547473508864641e-13
x12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.49660000000176,-2.7284841053187847e-12,-1.8189894035458565e-12,-1.8189894035458565e-12,-85.49660000000358,-1.8189894035458565e-12,-4.547473508864641e-13
x13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.4966000000004,-85.4966000000004,-85.49660000000131,85.49659999999858,-4.547473508864641e-13,1.3642420526593924e-12
x14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.80272499999683,245.802724999995,74.80952499999603,-128.24489999999923,2.2737367544323206e-12
x15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.80272499999683,74.80952499999785,-128.24490000000014,1.3642420526593924e-12
x16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.80952499999512,-128.24490000000105,4.547473508864641e-13
x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.24489999999787,-85.49659999999949
x18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.49659999999767
x19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
