rank,exact_repaired_qubo_energy,flow_bits,repaired_aux_bits,repaired_full_bits,match,matched_ip_obj
1,11.70949999999975,1001110100111100011,00000000000001011,100111010011110001100000000000001011,global_optimum,11.7095
2,11.810499999999749,1001110100111010011,00000000000001101,100111010011101001100000000000001101,gurobi_pool,11.8105
3,12.241499999999789,1001110100111001011,00000000000001110,100111010011100101100000000000001110,gurobi_pool,12.2415
4,14.456899999999834,1100110110011100011,00000001011100011,110011011001110001100000001011100011,gurobi_pool,14.456900000000001
5,14.467899999999801,1010110110011100011,00000100011100011,101011011001110001100000100011100011,gurobi_pool,14.4679
6,14.550499999999772,1001110110011100011,00000101010000011,100111011001110001100000101010000011,gurobi_pool,14.5505
7,14.557899999999947,1100110110011010011,00000001011100101,110011011001101001100000001011100101,gurobi_pool,14.5579
8,14.568899999999914,1010110110011010011,00000100011100101,101011011001101001100000100011100101,gurobi_pool,14.5689
9,14.651499999999885,1001110110011010011,00000101010000101,100111011001101001100000101010000101,gurobi_pool,14.651499999999999
10,14.988899999999987,1100110110011001011,00000001011100110,110011011001100101100000001011100110,gurobi_pool,14.9889
11,14.999899999999954,1010110110011001011,00000100011100110,101011011001100101100000100011100110,gurobi_pool,14.9999
12,15.082499999999925,1001110110011001011,00000101010000110,100111011001100101100000101010000110,gurobi_pool,15.0825
13,16.574900000000014,1100101100111100011,00000001000000011,110010110011110001100000001000000011,gurobi_pool,16.5749
14,16.58589999999998,1010101100111100011,00000100000000011,101010110011110001100000100000000011,gurobi_pool,16.5859
15,16.627499999999586,1001110100110000101,00000000000001000,100111010011000010100000000000001000,gurobi_pool,16.6275
16,16.6758999999999,1100101100111010011,00000001000000101,110010110011101001100000001000000101,gurobi_pool,16.6759
17,16.686899999999866,1010101100111010011,00000100000000101,101010110011101001100000100000000101,gurobi_pool,16.686899999999998
18,17.10689999999994,1100101100111001011,00000001000000110,110010110011100101100000001000000110,gurobi_pool,17.1069
19,17.117899999999906,1010101100111001011,00000100000000110,101010110011100101100000100000000110,gurobi_pool,17.1179
20,17.98089999999995,1100110101011100011,00000001011100011,110011010101110001100000001011100011,gurobi_pool,17.980900000000002
21,17.991899999999916,1010110101011100011,00000100011100011,101011010101110001100000100011100011,gurobi_pool,17.9919
22,18.074499999999887,1001110101011100011,00000101010000011,100111010101110001100000101010000011,gurobi_pool,18.0745
23,18.081899999999834,1100110101011010011,00000001011100101,110011010101101001100000001011100101,gurobi_pool,18.0819
24,18.0928999999998,1010110101011010011,00000100011100101,101011010101101001100000100011100101,gurobi_pool,18.0929
25,18.175499999999772,1001110101011010011,00000101010000101,100111010101101001100000101010000101,gurobi_pool,18.175500000000003
26,18.512899999999874,1100110101011001011,00000001011100110,110011010101100101100000001011100110,gurobi_pool,18.512900000000002
27,18.52389999999984,1010110101011001011,00000100011100110,101011010101100101100000100011100110,gurobi_pool,18.5239
28,18.606499999999812,1001110101011001011,00000101010000110,100111010101100101100000101010000110,gurobi_pool,18.6065
29,19.374899999999855,1100110110010000101,00000001011100000,110011011001000010100000001011100000,gurobi_pool,19.3749
30,19.385899999999822,1010110110010000101,00000100011100000,101011011001000010100000100011100000,gurobi_pool,19.3859
31,19.468499999999715,1001110110010000101,00000101010000000,100111011001000010100000101010000000,gurobi_pool,19.4685
32,21.492899999999736,1100101100110000101,00000001000000000,110010110011000010100000001000000000,gurobi_pool,21.492900000000002
33,21.503899999999703,1010101100110000101,00000100000000000,101010110011000010100000100000000000,gurobi_pool,21.503899999999998
34,22.898899999999855,1100110101010000101,00000001011100000,110011010101000010100000001011100000,gurobi_pool,22.8989
35,22.909899999999823,1010110101010000101,00000100011100000,101011010101000010100000100011100000,gurobi_pool,22.9099
36,22.99249999999971,1001110101010000101,00000101010000000,100111010101000010100000101010000000,gurobi_pool,22.9925
37,54.36419999999982,1100110100111100011,00000000010101011,110011010011110001100000000010101011,not_in_gurobi_pool,
38,54.375199999999786,1010110100111100011,00000000010101011,101011010011110001100000000010101011,not_in_gurobi_pool,
39,54.46519999999982,1100110100111010011,00000000010101101,110011010011101001100000000010101101,not_in_gurobi_pool,
40,54.476199999999785,1010110100111010011,00000000010101101,101011010011101001100000000010101101,not_in_gurobi_pool,
41,54.89619999999986,1100110100111001011,00000000010101110,110011010011100101100000000010101110,not_in_gurobi_pool,
42,54.907199999999825,1010110100111001011,00000000010101110,101011010011100101100000000010101110,not_in_gurobi_pool,
43,57.33529999999977,0000010100111100011,01000000010001011,000001010011110001101000000010001011,not_in_gurobi_pool,
44,57.33529999999977,0000110100111100011,01000000010001011,000011010011110001101000000010001011,not_in_gurobi_pool,
45,57.43629999999977,0000010100111010011,01000000010001101,000001010011101001101000000010001101,not_in_gurobi_pool,
46,57.43629999999977,0000110100111010011,01000000010001101,000011010011101001101000000010001101,not_in_gurobi_pool,
47,57.45779999999977,0001110100111100011,00000000000001011,000111010011110001100000000000001011,not_in_gurobi_pool,
48,57.55879999999977,0001110100111010011,00000000000001101,000111010011101001100000000000001101,not_in_gurobi_pool,
49,57.86729999999981,0000010100111001011,01000000010001110,000001010011100101101000000010001110,not_in_gurobi_pool,
50,57.86729999999981,0000110100111001011,01000000010001110,000011010011100101101000000010001110,not_in_gurobi_pool,
