campaign,source,seed,optimizer_reads,maximum_iterations,final_reads,global_hits,feasible_hits,top50_hits,solve_seconds
ds_mfg_vqe_final_sampling_sweep,ds_mfg_vqe_final_sampling_sweep/vqe_final_sampling_summary.csv,73001,128,25,512,0,0,,3.305343417
ds_mfg_vqe_final_sampling_sweep_v2,ds_mfg_vqe_final_sampling_sweep_v2/vqe_final_sampling_summary.csv,73001,128,25,8192,0,0,,4.602073795
ds_mfg_vqe_final_sampling_sweep_v2,ds_mfg_vqe_final_sampling_sweep_v2/vqe_final_sampling_summary.csv,73002,128,25,8192,0,0,,2.722607424
ds_mfg_vqe_final_sampling_sweep_v2,ds_mfg_vqe_final_sampling_sweep_v2/vqe_final_sampling_summary.csv,73003,128,25,8192,0,0,,3.016612227
ds_mfg_vqe_final_sampling_sweep_v2,ds_mfg_vqe_final_sampling_sweep_v2/vqe_final_sampling_summary.csv,73004,128,25,8192,0,0,,2.845247688
ds_mfg_vqe_final_sampling_sweep_v2,ds_mfg_vqe_final_sampling_sweep_v2/vqe_final_sampling_summary.csv,73005,128,25,8192,0,1,,2.799326043
ds_mfg_vqe_reduced_flow_objective,ds_mfg_vqe_reduced_flow_objective/vqe_reduced_flow_summary.csv,73001,128,25,512,0,0,,0.870340607
ds_mfg_vqe_reduced_flow_objective_final,ds_mfg_vqe_reduced_flow_objective_final/vqe_reduced_top50_sampling_summary.csv,74018,128,25,524288,20,389,391,30.078369633
ds_mfg_vqe_reduced_flow_objective_final,ds_mfg_vqe_reduced_flow_objective_final/vqe_reduced_top50_sampling_summary.csv,74007,128,25,524288,3,142,168,25.28987146
ds_mfg_vqe_reduced_flow_objective_final,ds_mfg_vqe_reduced_flow_objective_final/vqe_reduced_top50_sampling_summary.csv,74001,128,25,524288,5,70,115,25.613298383
ds_mfg_vqe_reduced_flow_objective_seed74018_metadata,ds_mfg_vqe_reduced_flow_objective_seed74018_metadata/vqe_reduced_top50_sampling_summary.csv,74018,128,25,32768,0,5,5,5.771929925
ds_mfg_vqe_reduced_flow_objective_selected_metadata,ds_mfg_vqe_reduced_flow_objective_selected_metadata/vqe_reduced_top50_sampling_summary.csv,74018,128,25,524288,0,169,175,29.073913191
ds_mfg_vqe_reduced_flow_objective_selected_metadata,ds_mfg_vqe_reduced_flow_objective_selected_metadata/vqe_reduced_top50_sampling_summary.csv,74007,128,25,524288,1,63,74,25.569986388
ds_mfg_vqe_reduced_flow_objective_selected_metadata,ds_mfg_vqe_reduced_flow_objective_selected_metadata/vqe_reduced_top50_sampling_summary.csv,74001,128,25,524288,3,34,47,25.205767565
ds_mfg_vqe_reduced_flow_objective_v2,ds_mfg_vqe_reduced_flow_objective_v2/vqe_reduced_flow_summary.csv,73001,128,25,8192,0,0,,1.630693976
ds_mfg_vqe_reduced_flow_objective_v2,ds_mfg_vqe_reduced_flow_objective_v2/vqe_reduced_flow_summary.csv,73002,128,25,8192,0,1,,1.551693167
ds_mfg_vqe_reduced_flow_objective_v2,ds_mfg_vqe_reduced_flow_objective_v2/vqe_reduced_flow_summary.csv,73003,128,25,8192,0,1,,1.731830487
ds_mfg_vqe_reduced_flow_objective_v2,ds_mfg_vqe_reduced_flow_objective_v2/vqe_reduced_flow_summary.csv,73004,128,25,8192,0,0,,1.70907209
ds_mfg_vqe_reduced_flow_objective_v2,ds_mfg_vqe_reduced_flow_objective_v2/vqe_reduced_flow_summary.csv,73005,128,25,8192,0,0,,1.557414624
ds_mfg_vqe_reduced_flow_objective_v3,ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,74001,128,25,32768,1,3,5,4.721729158
ds_mfg_vqe_reduced_flow_objective_v3,ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,74002,128,25,32768,0,4,8,2.125016403
ds_mfg_vqe_reduced_flow_objective_v3,ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,74003,128,25,32768,0,2,2,2.090294473
ds_mfg_vqe_reduced_flow_objective_v3,ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,74004,128,25,32768,0,0,1,2.105764496
ds_mfg_vqe_reduced_flow_objective_v3,ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,74005,128,25,32768,0,0,1,2.124852894
ds_mfg_vqe_reduced_flow_objective_v3,ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,74006,128,25,32768,0,2,2,2.099358257
ds_mfg_vqe_reduced_flow_objective_v3,ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,74007,128,25,32768,2,7,9,2.124122779
ds_mfg_vqe_reduced_flow_objective_v3,ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,74008,128,25,32768,0,2,2,2.101062403
ds_mfg_vqe_reduced_flow_objective_v3,ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,74009,128,25,32768,0,1,1,2.122553228
ds_mfg_vqe_reduced_flow_objective_v3,ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,74010,128,25,32768,0,5,6,2.168794207
ds_mfg_vqe_reduced_flow_objective_v3,ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,74011,128,25,32768,0,0,1,2.150092515
ds_mfg_vqe_reduced_flow_objective_v3,ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,74012,128,25,32768,0,4,4,2.200683086
ds_mfg_vqe_reduced_flow_objective_v3,ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,74013,128,25,32768,0,1,2,2.347887256
ds_mfg_vqe_reduced_flow_objective_v3,ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,74014,128,25,32768,0,2,2,2.181794625
ds_mfg_vqe_reduced_flow_objective_v3,ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,74015,128,25,32768,0,0,3,2.154812904
ds_mfg_vqe_reduced_flow_objective_v3,ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,74016,128,25,32768,0,3,3,2.120418189
ds_mfg_vqe_reduced_flow_objective_v3,ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,74017,128,25,32768,0,1,1,2.073735156
ds_mfg_vqe_reduced_flow_objective_v3,ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,74018,128,25,32768,0,23,23,2.118166428
ds_mfg_vqe_reduced_flow_objective_v3,ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,74019,128,25,32768,0,0,0,2.103079813
ds_mfg_vqe_reduced_flow_objective_v3,ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,74020,128,25,32768,0,1,1,2.151434842
ds_mfg_vqe_reduced_flow_objective_v4,ds_mfg_vqe_reduced_flow_objective_v4/vqe_reduced_top50_sampling_summary.csv,74001,128,25,262144,3,31,54,15.812079204
ds_mfg_vqe_reduced_flow_objective_v4,ds_mfg_vqe_reduced_flow_objective_v4/vqe_reduced_top50_sampling_summary.csv,74007,128,25,262144,3,68,84,12.599367739
ds_mfg_vqe_reduced_flow_objective_v4,ds_mfg_vqe_reduced_flow_objective_v4/vqe_reduced_top50_sampling_summary.csv,74018,128,25,262144,13,198,199,13.59845704
ds_mfg_saved_distributions,ds_mfg_saved_distributions/vqe_distribution.csv,20260613,128,10,128,0,0,0,
