campaign,source,p,seed,iteration_cap,sigma,reads,optimum_hits,optimum_probability,seconds
full_QUBO_depth,ds_mfg_fixed_angle_sweep/fixed_angle_qaoa_summary.csv,1,,25,,128,0,,53.169504574
full_QUBO_depth,ds_mfg_fixed_angle_sweep/fixed_angle_qaoa_summary.csv,2,,25,,128,0,,246.489810241
full_QUBO_depth,ds_mfg_fixed_angle_sweep/fixed_angle_qaoa_summary.csv,3,,25,,128,0,,402.414125371
full_QUBO_depth,ds_mfg_fixed_angle_sweep/fixed_angle_qaoa_summary.csv,4,,25,,128,0,,532.586319578
full_QUBO_depth,ds_mfg_fixed_angle_sweep/fixed_angle_qaoa_summary.csv,5,,25,,128,0,,616.182459716
full_QUBO_iteration_cap,ds_mfg_iteration_sweep/sweep_summary.csv,1,15001,3,,128,0,,5.450504167
full_QUBO_iteration_cap,ds_mfg_iteration_sweep/sweep_summary.csv,1,17001,5,,128,0,,11.985918733
full_QUBO_iteration_cap,ds_mfg_iteration_sweep/sweep_summary.csv,1,22001,10,,128,0,,25.25503564
full_QUBO_iteration_cap,ds_mfg_iteration_sweep/sweep_summary.csv,1,32001,20,,128,0,,50.140459627
full_QUBO_iteration_cap,ds_mfg_iteration_sweep/sweep_summary.csv,1,52001,40,,128,0,,76.710180861
full_QUBO_angle_perturbation,ds_mfg_p2_perturbation_sweep_v3/p2_perturbation_summary.csv,2,42051,10,0.05,128,0,,109.719425192
full_QUBO_angle_perturbation,ds_mfg_p2_perturbation_sweep_v3/p2_perturbation_summary.csv,2,42101,10,0.1,128,0,,106.128486675
full_QUBO_angle_perturbation,ds_mfg_p2_perturbation_sweep_v3/p2_perturbation_summary.csv,2,42201,10,0.2,128,0,,108.128227334
historical_energy_transfer_depth,ds_mfg_qaoa_juliqaoa_angle_search/juliqaoa_angle_summary.csv,1,91001,,,,,0.00014195955989690227,
historical_energy_transfer_depth,ds_mfg_qaoa_juliqaoa_angle_search/juliqaoa_angle_summary.csv,2,91001,,,,,0.000346952067282077,
historical_energy_transfer_depth,ds_mfg_qaoa_juliqaoa_angle_search/juliqaoa_angle_summary.csv,3,91001,,,,,0.0006616401656696117,
historical_energy_transfer_depth,ds_mfg_qaoa_juliqaoa_angle_search/juliqaoa_angle_summary.csv,4,91001,,,,,0.0016029260869146298,
historical_energy_transfer_depth,ds_mfg_qaoa_juliqaoa_angle_search/juliqaoa_angle_summary.csv,5,91001,,,,,0.0026325613174018516,
