algorithm,seed,evaluations,restarts,search_seconds,unique_evaluations,optimum_evaluations,found_optimum,best_repaired_energy
uniform,97001,262144,0,2.234145667,206265,1,true,11.70949999999975
hill_climb,97001,262144,2056,1.391863395,111745,20,true,11.70949999999975
simulated_annealing,97001,262144,64,0.668675455,21216,21,true,11.70949999999975
uniform,97002,262144,0,2.239535361,206046,1,true,11.70949999999975
hill_climb,97002,262144,2056,1.174921555,111470,17,true,11.70949999999975
simulated_annealing,97002,262144,64,0.580802255,21871,13,true,11.70949999999975
uniform,97003,262144,0,2.262291117,206145,0,false,11.810499999999749
hill_climb,97003,262144,2055,1.189976164,112368,27,true,11.70949999999975
simulated_annealing,97003,262144,64,0.571940432,21662,25,true,11.70949999999975
uniform,97004,262144,0,2.16369506,206336,1,true,11.70949999999975
hill_climb,97004,262144,2063,1.161694081,112341,26,true,11.70949999999975
simulated_annealing,97004,262144,64,0.572584447,21502,9,true,11.70949999999975
uniform,97005,262144,0,2.152162641,206587,0,false,11.810499999999749
hill_climb,97005,262144,2089,1.174122106,111476,22,true,11.70949999999975
simulated_annealing,97005,262144,64,0.568605166,21150,12,true,11.70949999999975
