seed,basinhopping_iterations,p,global_probability,top50_probability,expected_surrogate_energy,normalized_angles_beta_then_gamma
91001,1,1,0.00014195955989690227,0.007214556344983493,326.5078269271137,2.6902871794091006;1.7153954022106994
91001,1,2,0.000346952067282077,0.021129677889059027,232.97360212377382,2.6521152140667805;2.9233931662562118;1.2197077100803206;3.3949373112631855
91001,1,3,0.0006616401649774172,0.04919869602194881,188.92980824575696,2.6021367149319881;2.8508511939925869;2.9866944902816566;1.120958295752448;3.0564469659338989;6.9681877601972566
91001,1,4,0.0016029260647208758,0.11007037950772744,152.3170725635519,2.634931542848884;2.8257333877838868;2.9376325526832967;2.9920680662455386;1.0902348268481625;2.5950965017394263;5.5309141075371695;7.850822674621333
91001,1,5,0.00263256118896646,0.1506822851862358,129.75434564688018,2.3396297648297395;2.6348705075374905;2.8837299015406233;2.9486178342099811;3.0114913448866338;0.74175790374137496;1.7766443323801946;3.0555897651671691;4.7552120161231608;6.7057108452776655
91002,1,1,0.00014195956108970653,0.007214556412010968,326.50782692711357,5.8318798312435147;1.715395408447874
91002,1,2,0.0003469520676475399,0.02112967794272067,232.97360212377382,5.7937078676119818;6.0649858197973696;1.2197077139823955;3.3949373193932209
91002,1,3,0.0006616401734743582,0.049198696757919436,188.92980824575693,5.743729371937687;5.9924438515787406;6.1282871431595591;1.1209583104841363;3.0564469995855852;6.9681878166155853
91002,1,4,0.0018254598667821692,0.10407264662626035,147.0795950857888,4.2421810082416522;5.6519934156739993;6.0801222580180125;6.155845332995372;-1.190939066375047;0.63000117696913704;4.7577293444061937;6.0486016047397158
91002,1,5,0.002807234469963181,0.17177264045786847,124.40765110433111,4.2346949405632248;5.6238418025674255;6.0660378148730656;6.1045056865312981;6.1656294648337289;-1.2513354755651733;0.71722555262733734;4.2292704963500292;4.7230499319094967;6.3975153397340376
91003,1,1,0.0001419595613484714,0.007214556425218895,326.5078269271137,5.8318798313167779;1.7153954099298843
91003,1,2,0.00034695206758895633,0.021129677941067782,232.97360212377384,5.7937078675278864;6.0649858197784798;1.2197077139973815;3.3949373198008326
91003,1,3,0.000661640173455239,0.04919869675626331,188.92980824575693,5.7437293719299856;5.9924438515697327;6.1282871431611641;1.1209583104509793;3.0564469995099013;6.9681878164888014
91003,1,4,0.0016029260647206847,0.1100703795077188,152.31707256355185,5.7765241964386975;5.9673260413737088;6.0792252062731169;6.1336607198353494;1.090234826848308;2.5950965017394783;5.5309141075370158;7.8508226746205869
91003,1,5,0.0026325613061835905,0.1506822908447768,129.75434564687976,5.4812224201006385;5.7764631660881944;6.0253225603888714;6.0902104866097462;6.1530839954026764;0.74175794403917095;1.7766444328841688;3.0555898955673366;4.7552119959797885;6.7057108221558011
91001,5,1,0.00014195955989690227,0.007214556344983493,326.5078269271137,2.6902871794091006;1.7153954022106994
91001,5,2,0.000346952067282077,0.021129677889059027,232.97360212377382,2.6521152140667805;2.9233931662562118;1.2197077100803206;3.3949373112631855
91001,5,3,0.0006616401656696117,0.04919869607643499,188.92980824575693,2.6021367150163512;2.8508511943620096;2.9866944903969683;1.1209582969941452;3.0564469715896605;6.9681877657146023
91001,5,4,0.0016029260869146298,0.11007038056664137,152.31707256355187,2.6349315401019182;2.8257333854634403;2.9376325504984284;2.9920680649995459;1.0902348214190882;2.5950965120600524;5.530914146427139;7.8508227357391478
91001,5,5,0.0026325613174018516,0.15068229084189524,129.75434564687998,2.3396297694190586;2.6348705139794379;2.8837299086002854;2.9486178335199571;3.0114913435086632;0.74175795718674475;1.7766444538782713;3.0555899276338727;4.7552119766767733;6.705710806531207
