algorithm,seed,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,number_of_reads,maximum_iterations,number_of_layers,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
QAOA,20260612,1,1,0.0078125,313.7519999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10001100000000000,101010110011000000110001100000000000,100.01049999999987,213.74149999999992,7,,1010101100110000001,101010110011000000110111010010000101,128,10,1,true,single,8,1.0e-10,64
QAOA,20260612,2,1,0.0078125,494.9371999999998,5.684341886080802e-14,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000111010000000,001000100100000010100000111010000000,366.6922999999998,128.24489999999992,5,,0010001001000000101,001000100100000010100000010001000001,128,10,1,true,single,8,1.0e-10,64
QAOA,20260612,3,1,0.0078125,496.6351999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000100000000101,101010110111001001100000100000000101,240.14539999999977,256.48980000000006,8,,1010101101110010011,101010110111001001101101010101100101,128,10,1,true,single,8,1.0e-10,64
QAOA,20260612,4,1,0.0078125,537.2759999999996,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000001010100011,110111011101110001100000001010100011,280.78619999999967,256.48980000000006,6,,1101110111011100011,110111011101110001100000100010001000,128,10,1,true,single,8,1.0e-10,64
QAOA,20260612,5,1,0.0078125,569.2237999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10000100011100000,001001000100010000110000100011100000,440.9788999999998,128.24489999999986,3,,0010010001000100001,001001000100010000110001100111101000,128,10,1,true,single,8,1.0e-10,64
QAOA,20260612,6,1,0.0078125,609.7871999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,11001101000001000,000001110010100000111001101000001000,438.79399999999976,170.9932,6,,0000011100101000001,000001110010100000101011000101001000,128,10,1,true,single,8,1.0e-10,64
QAOA,20260612,7,1,0.0078125,658.7273999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000001000000101,110010110010001011100000001000000101,273.9926999999998,384.7347,7,,1100101100100010111,110010110010001011100101100001001001,128,10,1,true,single,8,1.0e-10,64
QAOA,20260612,8,1,0.0078125,659.1713999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000001000000100,110000100011101101100000001000000100,317.1849999999997,341.9864,6,,1100001000111011011,110000100011101101110101001001001101,128,10,1,true,single,8,1.0e-10,64
QAOA,20260612,9,1,0.0078125,707.6796999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10001100000101000,001011111011100000110001100000101000,408.4415999999997,299.2381,7,,0010111110111000001,001011111011100000111100101010011000,128,10,1,true,single,8,1.0e-10,64
QAOA,20260612,10,1,0.0078125,744.2349999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10001100000101000,001011110011100000110001100000101000,274.00369999999987,470.2312999999998,9,,0010111100111000001,001011110011100000101110100001110100,128,10,1,true,single,8,1.0e-10,64
QAOA,20260612,11,1,0.0078125,744.9739999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10000100000101000,001011110011110000010000100000101000,317.49099999999993,427.48299999999966,6,,0010111100111100000,001011110011110000011001101111101000,128,10,1,true,single,8,1.0e-10,64
QAOA,20260612,12,1,0.0078125,749.3715,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000111000000101,001110101001101001100000111000000101,407.38509999999974,341.9864,6,,0011101010011010011,001110101001101001100110101000001000,128,10,1,true,single,8,1.0e-10,64
QAOA,20260612,13,1,0.0078125,757.9309999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000001000000000,110010100111000010000000001000000000,415.9445999999997,341.9863999999999,8,,1100101001110000100,110010100111000010000100100001101101,128,10,1,true,single,8,1.0e-10,64
QAOA,20260612,14,1,0.0078125,783.5732999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000111010000001,101000111000111001000000111010000001,441.5868999999998,341.9864,6,,1010001110001110010,101000111000111001001001101011000100,128,10,1,true,single,8,1.0e-10,64
QAOA,20260612,15,1,0.0078125,795.4222999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10000100011100000,001011001101101000010000100011100000,496.18419999999975,299.2381,7,,0010110011011010000,001011001101101000000001000011010110,128,10,1,true,single,8,1.0e-10,64
QAOA,20260612,16,1,0.0078125,826.7604999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10001000000100000,111010100011100000010001000000100000,313.7808999999997,512.9795999999999,8,,1110101000111000000,111010100011100000000001011111000010,128,10,1,true,single,8,1.0e-10,64
QAOA,20260612,17,1,0.0078125,832.0171999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000101000000101,000110111010001001100000101000000101,447.2824999999998,384.7347,7,,0001101110100010011,000110111010001001100000000110011001,128,10,1,true,single,8,1.0e-10,64
