algorithm,seed,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,number_of_reads,maximum_iterations,number_of_layers,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
VQE,20260613,1,1,0.0078125,566.6047999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00101000010000111,110000010011000001100101000010000111,224.61839999999978,341.98639999999995,8,,1100000100110000011,110000010011000001111000100001000110,128,10,1,true,single,8,1.0e-10,64
VQE,20260613,2,1,0.0078125,616.6891999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,11000101000000000,000010110011110000011000101000000000,231.95449999999994,384.73469999999986,9,,0000101100111100000,000010110011110000001111000101010000,128,10,1,true,single,8,1.0e-10,64
VQE,20260613,3,1,0.0078125,657.5429999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10100101010000000,000100001001001000010100101010000000,443.80149999999975,213.74149999999992,7,,0001000010010010000,000100001001001000001111101101000000,128,10,1,true,single,8,1.0e-10,64
VQE,20260613,4,1,0.0078125,703.5866999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10000001000000000,010000110011101100010000001000000000,532.5934999999997,170.9931999999999,4,,0100001100111011000,010000110011101100010010101001100000,128,10,1,true,single,8,1.0e-10,64
VQE,20260613,5,1,0.0078125,770.4717999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10110100010000000,101110000000001000110110100010000000,385.7370999999997,384.7347,9,,1011100000000010001,101110000000001000100011110001010110,128,10,1,true,single,8,1.0e-10,64
VQE,20260613,6,1,0.0078125,785.2982999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00010111010100000,001001110000101010100010111010100000,699.8016999999998,85.49659999999994,4,,0010011100001010101,001001110000101010101010110110100100,128,10,1,true,single,8,1.0e-10,64
VQE,20260613,7,1,0.0078125,791.0463999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01100000010000011,000010010011110011001100000010000011,534.5565999999998,256.48979999999995,6,,0000100100111100110,000010010011110011001111000101000010,128,10,1,true,single,8,1.0e-10,64
VQE,20260613,8,1,0.0078125,792.9412999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000101110100110,110001110101000101100000101110100110,408.20659999999975,384.7347,9,,1100011101010001011,110001110101000101101101010100000111,128,10,1,true,single,8,1.0e-10,64
VQE,20260613,9,1,0.0078125,831.6646999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,11000000010001000,000011011011110000011000000010001000,318.68509999999964,512.9795999999999,8,,0000110110111100000,000011011011110000000110001110101010,128,10,1,true,single,8,1.0e-10,64
VQE,20260613,10,1,0.0078125,831.7226999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01100000010000000,000010000011000010101100000010000000,190.49819999999977,641.2244999999999,9,,0000100000110000101,000010000011000010100110001101110001,128,10,1,true,single,8,1.0e-10,64
VQE,20260613,11,1,0.0078125,860.0873999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10011111000000000,101100100000000000010011111000000000,432.60439999999977,427.4829999999999,6,,1011001000000000000,101100100000000000011111001001000010,128,10,1,true,single,8,1.0e-10,64
VQE,20260613,12,1,0.0078125,860.7213999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00110001010000110,010110010000000101100110001010000110,475.9866999999998,384.73469999999986,7,,0101100100000001011,010110010000000101110000101011001010,128,10,1,true,single,8,1.0e-10,64
VQE,20260613,13,1,0.0078125,868.3999999999996,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01010101011000100,000011000000001111101010101011000100,611.9101999999998,256.48979999999995,6,,0000110000000011111,000011000000001111101000100111110000,128,10,1,true,single,8,1.0e-10,64
