algorithm,seed,optimizer_reads,final_reads,maximum_iterations,initial_parameter_count,result,reads,probability,surrogate_qubo_energy,exact_repaired_qubo_energy,match,matched_ip_obj,flow_bits,repaired_aux_bits,repaired_full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
VQE_reduced_surrogate,73001,128,512,25,152,53,3,0.005859375,403.35729375000346,411.3725999999998,not_in_gurobi_pool,,0100110001011100100,00000001011100000,010011000101110010000000001011100000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,78,2,0.00390625,479.1668937500019,487.18219999999974,not_in_gurobi_pool,,0100110010000100100,00000001011100000,010011001000010010000000001011100000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,1,1,0.001953125,131.93909375000953,139.9543999999997,not_in_gurobi_pool,,1001100000111100011,00100000000000011,100110000011110001100100000000000011,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,4,1,0.001953125,165.6217937499839,173.63709999999986,not_in_gurobi_pool,,1010010100000001011,00010100011100110,101001010000000101100010100011100110,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,2,1,0.001953125,150.09224374999917,179.48169999999982,not_in_gurobi_pool,,1001110010000010011,00000101010000101,100111001000001001100000101010000101,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,5,1,0.001953125,187.38286874998926,184.71109999999993,not_in_gurobi_pool,,1100110010010000011,00001001011100111,110011001001000001100001001011100111,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,3,1,0.001953125,164.5962437499943,193.98569999999972,not_in_gurobi_pool,,1001010101010000100,00000101010000000,100101010101000010000000101010000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,9,1,0.001953125,225.95716874998993,223.28539999999975,not_in_gurobi_pool,,1100000100110000000,10101000010000000,110000010011000000010101000010000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,7,1,0.001953125,210.38901874999965,229.0914,not_in_gurobi_pool,,0100110101001001010,00000001011100110,010011010100100101000000001011100110,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,8,1,0.001953125,221.55509375000247,229.5703999999998,not_in_gurobi_pool,,1100010110011011011,00000001011100100,110001011001101101100000001011100100,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,10,1,0.001953125,236.6551687499889,233.98339999999993,not_in_gurobi_pool,,0100110001010000011,00001001011100111,010011000101000001100001001011100111,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,6,1,0.001953125,205.21894374999783,234.60839999999982,not_in_gurobi_pool,,0100110100110000111,00000000010101111,010011010011000011100000000010101111,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,13,1,0.001953125,252.3948437500046,239.03599999999997,not_in_gurobi_pool,,0001101101010000011,00001111100000111,000110110101000001100001111100000111,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,14,1,0.001953125,264.36346874997525,261.6916999999999,not_in_gurobi_pool,,0100000100001010011,00110001011000101,010000010000101001100110001011000101,true,single,36,1.0e-10,64
