algorithm,seed,result,reads,probability,surrogate_qubo_energy,exact_repaired_qubo_energy,match,matched_ip_obj,flow_bits,repaired_aux_bits,repaired_full_bits,optimizer_reads,final_reads,maximum_iterations,initial_parameter_count,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
VQE_reduced_surrogate,73005,3202,5,0.0006103515625,747.6642687500021,744.9925000000001,not_in_gurobi_pool,,1101111001001011010,00000101100100100,110111100100101101000000101100100100,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,5259,5,0.0006103515625,1063.7824437500083,1050.4235999999999,not_in_gurobi_pool,,1101111011001011010,00000101100100100,110111101100101101000000101100100100,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1338,4,0.00048828125,490.07404375000056,476.71519999999987,not_in_gurobi_pool,,0010000100001011010,00110100011000100,001000010000101101000110100011000100,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,3230,4,0.00048828125,751.7468687499963,749.0750999999998,not_in_gurobi_pool,,0000000011001011010,01100101011000100,000000001100101101001100101011000100,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,3980,4,0.00048828125,857.5255937500058,865.5408999999999,not_in_gurobi_pool,,0010000100101111010,00100000010000000,001000010010111101000100000010000000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,602,3,0.0003662109375,361.78924374999724,348.4303999999997,not_in_gurobi_pool,,0000010100001011010,01010101011000100,000001010000101101001010101011000100,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,905,3,0.0003662109375,423.6581187500012,442.36049999999955,not_in_gurobi_pool,,0001111100101011011,00000101000001100,000111110010101101100000101000001100,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1099,3,0.0003662109375,453.50426874999926,450.8324999999999,not_in_gurobi_pool,,0001001110011110010,00000111100000001,000100111001111001000000111100000001,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1281,3,0.0003662109375,482.821568750006,480.1497999999997,not_in_gurobi_pool,,0001000100101011010,00100000000000100,000100010010101101000100000000000100,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1223,3,0.0003662109375,475.99439375000816,484.00969999999995,not_in_gurobi_pool,,1101100010010001000,10100001010000000,110110001001000100010100001010000000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1329,3,0.0003662109375,488.57196875000045,485.9001999999996,not_in_gurobi_pool,,0010000101001110010,00100100011000001,001000010100111001000100100011000001,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1699,3,0.0003662109375,543.4689187499932,519.423,not_in_gurobi_pool,,1101111000000000010,00011101100100111,110111100000000001000011101100100111,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1832,3,0.0003662109375,564.7810687499991,562.1093000000001,not_in_gurobi_pool,,1101111000000001000,10010101100100000,110111100000000100010010101100100000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1903,3,0.0003662109375,575.5021437500025,562.1432999999997,not_in_gurobi_pool,,1101100000100110011,00100000000000001,110110000010011001100100000000000001,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1746,3,0.0003662109375,549.2164187499998,567.9187999999999,not_in_gurobi_pool,,0010011100101010000,10000100000101000,001001110010101000010000100000101000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,2011,3,0.0003662109375,590.3292437500068,576.9703999999999,not_in_gurobi_pool,,0001111001001011011,00000111100000100,000111100100101101100000111100000100,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,2014,3,0.0003662109375,591.0741437500023,577.7153,not_in_gurobi_pool,,1101100001110001011,00100000000000110,110110000111000101100100000000000110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,2613,3,0.0003662109375,673.6912687500064,671.0194999999998,not_in_gurobi_pool,,0000111001110001011,01000101000001110,000011100111000101101000101000001110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,2943,3,0.0003662109375,714.5315187499889,690.4856000000004,not_in_gurobi_pool,,0110000100001011011,00110000011100100,011000010000101101100110000011100100,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,2824,3,0.0003662109375,702.9569687499979,700.2851999999997,not_in_gurobi_pool,,0101000101001011011,00100001010000100,010100010100101101100100001010000100,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,2899,3,0.0003662109375,710.1399687500011,707.4681999999998,not_in_gurobi_pool,,1101100011010001000,10100001010000000,110110001101000100010100001010000000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,3491,3,0.0003662109375,789.4236437499951,776.0647999999998,not_in_gurobi_pool,,0101000100001011010,00110001010000100,010100010000101101000110001010000100,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,3734,3,0.0003662109375,820.0727187499986,796.0267999999999,not_in_gurobi_pool,,0101100011010000010,00101001010000111,010110001101000001000101001010000111,128,8192,25,152,true,single,36,1.0e-10,64
