algorithm,seed,optimizer_reads,final_reads,maximum_iterations,solve_time_sec,unique_states,total_reads,top50_hits,top10_hits,global_hits,top50_hit_rate,top50_hit_rate_wilson95_low,top50_hit_rate_wilson95_high,top50_tts95_sec,top10_hit_rate,top10_hit_rate_wilson95_low,top10_hit_rate_wilson95_high,top10_tts95_sec,global_hit_rate,global_hit_rate_wilson95_low,global_hit_rate_wilson95_high,global_tts95_sec,best_top50_rank,best_top50_exact_repaired_qubo_energy,best_top50_match,best_top50_flow_bits
VQE_reduced_surrogate_top50_revisit,74001,128,32768,25,4.721729158,26323,32768,5,2,1,0.000152587890625,6.51781315674e-05,0.000357180155442,2.82888753753,6.103515625e-05,1.67382009031e-05,0.000222536080664,7.07236293957,3.0517578125e-05,5.38712220871e-06,0.000172859157544,14.1448699749,1,11.70949999999975,global_optimum,1001110100111100011
VQE_reduced_surrogate_top50_revisit,74002,128,32768,25,2.125016403,26155,32768,8,1,0,0.000244140625,0.000123717139704,0.000481725152747,0.795713844751,3.0517578125e-05,5.38712220871e-06,0.000172859157544,6.36590530907,0,0,0.000117218277939,Inf,5,14.467899999999801,gurobi_pool,1010110110011100011
VQE_reduced_surrogate_top50_revisit,74003,128,32768,25,2.090294473,27744,32768,2,0,0,6.103515625e-05,1.67382009031e-05,0.000222536080664,3.13091256803,0,0,0.000117218277939,Inf,0,0,0.000117218277939,Inf,24,18.0928999999998,gurobi_pool,1010110101011010011
VQE_reduced_surrogate_top50_revisit,74004,128,32768,25,2.105764496,26451,32768,1,0,0,3.0517578125e-05,5.38712220871e-06,0.000172859157544,6.30823242861,0,0,0.000117218277939,Inf,0,0,0.000117218277939,Inf,37,54.36419999999982,not_in_gurobi_pool,1100110100111100011
VQE_reduced_surrogate_top50_revisit,74005,128,32768,25,2.124852894,26495,32768,1,0,0,3.0517578125e-05,5.38712220871e-06,0.000172859157544,6.36541548565,0,0,0.000117218277939,Inf,0,0,0.000117218277939,Inf,40,54.476199999999785,not_in_gurobi_pool,1010110100111010011
VQE_reduced_surrogate_top50_revisit,74006,128,32768,25,2.099358257,22980,32768,2,0,0,6.103515625e-05,1.67382009031e-05,0.000222536080664,3.1444886051,0,0,0.000117218277939,Inf,0,0,0.000117218277939,Inf,20,17.98089999999995,gurobi_pool,1100110101011100011
VQE_reduced_surrogate_top50_revisit,74007,128,32768,25,2.124122779,27465,32768,9,3,2,0.000274658203125,0.000144509480222,0.000521960814044,0.706960541619,9.1552734375e-05,3.11366690761e-05,0.000269165614305,2.12101127102,6.103515625e-05,1.67382009031e-05,0.000222536080664,3.18158172962,1,11.70949999999975,global_optimum,1001110100111100011
VQE_reduced_surrogate_top50_revisit,74008,128,32768,25,2.101062403,26137,32768,2,1,0,6.103515625e-05,1.67382009031e-05,0.000222536080664,3.14704113164,3.0517578125e-05,5.38712220871e-06,0.000172859157544,6.29414638262,0,0,0.000117218277939,Inf,5,14.467899999999801,gurobi_pool,1010110110011100011
VQE_reduced_surrogate_top50_revisit,74009,128,32768,25,2.122553228,25538,32768,1,0,0,3.0517578125e-05,5.38712220871e-06,0.000172859157544,6.35852638306,0,0,0.000117218277939,Inf,0,0,0.000117218277939,Inf,32,21.492899999999736,gurobi_pool,1100101100110000101
VQE_reduced_surrogate_top50_revisit,74010,128,32768,25,2.168794207,26937,32768,6,0,0,0.00018310546875,8.39214948086e-05,0.000399464794015,1.08280863118,0,0,0.000117218277939,Inf,0,0,0.000117218277939,Inf,32,21.492899999999736,gurobi_pool,1100101100110000101
