algorithm,seed,result,reads,probability,surrogate_qubo_energy,top50_rank,exact_repaired_qubo_energy,match,matched_ip_obj,flow_bits,repaired_aux_bits,repaired_full_bits
VQE_reduced_surrogate_top50_revisit,74001,1,2,7.62939453125e-6,-14.737956250001616,9,14.651499999999885,gurobi_pool,14.651499999999999,1001110110011010011,00000101010000101,100111011001101001100000101010000101
VQE_reduced_surrogate_top50_revisit,74001,2,2,7.62939453125e-6,-11.31495624998729,22,18.074499999999887,gurobi_pool,18.0745,1001110101011100011,00000101010000011,100111010101110001100000101010000011
VQE_reduced_surrogate_top50_revisit,74001,3,1,3.814697265625e-6,-4.2454812499993295,4,14.456899999999834,gurobi_pool,14.456900000000001,1100110110011100011,00000001011100011,110011011001110001100000001011100011
VQE_reduced_surrogate_top50_revisit,74001,4,1,3.814697265625e-6,-4.234481250005729,5,14.467899999999801,gurobi_pool,14.4679,1010110110011100011,00000100011100011,101011011001110001100000100011100011
VQE_reduced_surrogate_top50_revisit,74001,5,2,7.62939453125e-6,-4.1334812500047065,8,14.568899999999914,gurobi_pool,14.5689,1010110110011010011,00000100011100101,101011011001101001100000100011100101
VQE_reduced_surrogate_top50_revisit,74001,6,1,3.814697265625e-6,-3.702481250007395,11,14.999899999999954,gurobi_pool,14.9999,1010110110011001011,00000100011100110,101011011001100101100000100011100110
VQE_reduced_surrogate_top50_revisit,74001,7,1,3.814697265625e-6,-0.7104812499931086,21,17.991899999999916,gurobi_pool,17.9919,1010110101011100011,00000100011100011,101011010101110001100000100011100011
VQE_reduced_surrogate_top50_revisit,74001,8,1,3.814697265625e-6,-0.6204812499893251,23,18.081899999999834,gurobi_pool,18.0819,1100110101011010011,00000001011100101,110011010101101001100000001011100101
VQE_reduced_surrogate_top50_revisit,74001,9,5,1.9073486328125e-5,-0.6094812499948148,24,18.0928999999998,gurobi_pool,18.0929,1010110101011010011,00000100011100101,101011010101101001100000100011100101
VQE_reduced_surrogate_top50_revisit,74001,10,2,7.62939453125e-6,8.671593749996646,17,16.686899999999866,gurobi_pool,16.686899999999998,1010101100111010011,00000100000000101,101010110011101001100000100000000101
VQE_reduced_surrogate_top50_revisit,74001,11,3,1.1444091796875e-5,14.381268750008303,1,11.70949999999975,global_optimum,11.7095,1001110100111100011,00000000000001011,100111010011110001100000000000001011
VQE_reduced_surrogate_top50_revisit,74001,12,8,3.0517578125e-5,14.48226875000114,2,11.810499999999749,gurobi_pool,11.8105,1001110100111010011,00000000000001101,100111010011101001100000000000001101
VQE_reduced_surrogate_top50_revisit,74001,13,2,7.62939453125e-6,14.913268750003908,3,12.241499999999789,gurobi_pool,12.2415,1001110100111001011,00000000000001110,100111010011100101100000000000001110
VQE_reduced_surrogate_top50_revisit,74001,14,1,3.814697265625e-6,25.07574375000445,39,54.46519999999982,not_in_gurobi_pool,,1100110100111010011,00000000010101101,110011010011101001100000000010101101
VQE_reduced_surrogate_top50_revisit,74001,15,5,1.9073486328125e-5,25.08674374999896,40,54.476199999999785,not_in_gurobi_pool,,1010110100111010011,00000000010101101,101011010011101001100000000010101101
VQE_reduced_surrogate_top50_revisit,74001,16,5,1.9073486328125e-5,25.51774374999991,42,54.907199999999825,not_in_gurobi_pool,,1010110100111001011,00000000010101110,101011010011100101100000000010101110
VQE_reduced_surrogate_top50_revisit,74001,43,1,3.814697265625e-6,60.007068750009466,44,57.33529999999977,not_in_gurobi_pool,,0000110100111100011,01000000010001011,000011010011110001101000000010001011
VQE_reduced_surrogate_top50_revisit,74001,44,5,1.9073486328125e-5,60.108068750000484,46,57.43629999999977,not_in_gurobi_pool,,0000110100111010011,01000000010001101,000011010011101001101000000010001101
VQE_reduced_surrogate_top50_revisit,74001,45,1,3.814697265625e-6,60.12956875000941,47,57.45779999999977,not_in_gurobi_pool,,0001110100111100011,00000000000001011,000111010011110001100000000000001011
VQE_reduced_surrogate_top50_revisit,74001,46,4,1.52587890625e-5,60.23056874999952,48,57.55879999999977,not_in_gurobi_pool,,0001110100111010011,00000000000001101,000111010011101001100000000000001101
VQE_reduced_surrogate_top50_revisit,74001,47,1,3.814697265625e-6,60.53906875000507,50,57.86729999999981,not_in_gurobi_pool,,0000110100111001011,01000000010001110,000011010011100101101000000010001110
VQE_reduced_surrogate_top50_revisit,74007,1,2,7.62939453125e-6,-14.838956249999,6,14.550499999999772,gurobi_pool,14.5505,1001110110011100011,00000101010000011,100111011001110001100000101010000011
VQE_reduced_surrogate_top50_revisit,74007,2,1,3.814697265625e-6,-14.737956250001616,9,14.651499999999885,gurobi_pool,14.651499999999999,1001110110011010011,00000101010000101,100111011001101001100000101010000101
VQE_reduced_surrogate_top50_revisit,74007,3,12,4.57763671875e-5,-14.306956250002486,12,15.082499999999925,gurobi_pool,15.0825,1001110110011001011,00000101010000110,100111011001100101100000101010000110
VQE_reduced_surrogate_top50_revisit,74007,4,1,3.814697265625e-6,-11.213956249992634,25,18.175499999999772,gurobi_pool,18.175500000000003,1001110101011010011,00000101010000101,100111010101101001100000101010000101
VQE_reduced_surrogate_top50_revisit,74007,5,7,2.6702880859375e-5,-10.782956249990775,28,18.606499999999812,gurobi_pool,18.6065,1001110101011001011,00000101010000110,100111010101100101100000101010000110
VQE_reduced_surrogate_top50_revisit,74007,6,6,2.288818359375e-5,-9.920956250002291,31,19.468499999999715,gurobi_pool,19.4685,1001110110010000101,00000101010000000,100111011001000010100000101010000000
VQE_reduced_surrogate_top50_revisit,74007,7,1,3.814697265625e-6,-6.396956250000585,36,22.99249999999971,gurobi_pool,22.9925,1001110101010000101,00000101010000000,100111010101000010100000101010000000
VQE_reduced_surrogate_top50_revisit,74007,8,2,7.62939453125e-6,-4.1334812500047065,8,14.568899999999914,gurobi_pool,14.5689,1010110110011010011,00000100011100101,101011011001101001100000100011100101
VQE_reduced_surrogate_top50_revisit,74007,9,3,1.1444091796875e-5,-3.713481250001905,10,14.988899999999987,gurobi_pool,14.9889,1100110110011001011,00000001011100110,110011011001100101100000001011100110
VQE_reduced_surrogate_top50_revisit,74007,10,1,3.814697265625e-6,-3.702481250007395,11,14.999899999999954,gurobi_pool,14.9999,1010110110011001011,00000100011100110,101011011001100101100000100011100110
VQE_reduced_surrogate_top50_revisit,74007,11,1,3.814697265625e-6,-0.6204812499893251,23,18.081899999999834,gurobi_pool,18.0819,1100110101011010011,00000001011100101,110011010101101001100000001011100101
VQE_reduced_surrogate_top50_revisit,74007,12,2,7.62939453125e-6,-0.18948124998928506,26,18.512899999999874,gurobi_pool,18.512900000000002,1100110101011001011,00000001011100110,110011010101100101100000001011100110
VQE_reduced_surrogate_top50_revisit,74007,13,2,7.62939453125e-6,-0.17848124999477477,27,18.52389999999984,gurobi_pool,18.5239,1010110101011001011,00000100011100110,101011010101100101100000100011100110
VQE_reduced_surrogate_top50_revisit,74007,14,1,3.814697265625e-6,0.6725187499946514,29,19.374899999999855,gurobi_pool,19.3749,1100110110010000101,00000001011100000,110011011001000010100000001011100000
VQE_reduced_surrogate_top50_revisit,74007,15,2,7.62939453125e-6,0.6835187499918902,30,19.385899999999822,gurobi_pool,19.3859,1010110110010000101,00000100011100000,101011011001000010100000100011100000
VQE_reduced_surrogate_top50_revisit,74007,16,1,3.814697265625e-6,4.207518749994506,35,22.909899999999823,gurobi_pool,22.9099,1010110101010000101,00000100011100000,101011010101000010100000100011100000
VQE_reduced_surrogate_top50_revisit,74007,17,1,3.814697265625e-6,8.559593749997475,13,16.574900000000014,gurobi_pool,16.5749,1100101100111100011,00000001000000011,110010110011110001100000001000000011
VQE_reduced_surrogate_top50_revisit,74007,18,1,3.814697265625e-6,8.660593749995769,16,16.6758999999999,gurobi_pool,16.6759,1100101100111010011,00000001000000101,110010110011101001100000001000000101
VQE_reduced_surrogate_top50_revisit,74007,19,1,3.814697265625e-6,9.091593749997628,18,17.10689999999994,gurobi_pool,17.1069,1100101100111001011,00000001000000110,110010110011100101100000001000000110
VQE_reduced_surrogate_top50_revisit,74007,20,1,3.814697265625e-6,9.102593749998505,19,17.117899999999906,gurobi_pool,17.1179,1010101100111001011,00000100000000110,101010110011100101100000100000000110
VQE_reduced_surrogate_top50_revisit,74007,21,3,1.1444091796875e-5,14.381268750008303,1,11.70949999999975,global_optimum,11.7095,1001110100111100011,00000000000001011,100111010011110001100000000000001011
VQE_reduced_surrogate_top50_revisit,74007,22,2,7.62939453125e-6,14.48226875000114,2,11.810499999999749,gurobi_pool,11.8105,1001110100111010011,00000000000001101,100111010011101001100000000000001101
VQE_reduced_surrogate_top50_revisit,74007,23,11,4.1961669921875e-5,14.913268750003908,3,12.241499999999789,gurobi_pool,12.2415,1001110100111001011,00000000000001110,100111010011100101100000000000001110
VQE_reduced_surrogate_top50_revisit,74007,24,3,1.1444091796875e-5,19.299268750002284,15,16.627499999999586,gurobi_pool,16.6275,1001110100110000101,00000000000001000,100111010011000010100000000000001000
VQE_reduced_surrogate_top50_revisit,74007,25,9,3.4332275390625e-5,25.5067437500054,41,54.89619999999986,not_in_gurobi_pool,,1100110100111001011,00000000010101110,110011010011100101100000000010101110
VQE_reduced_surrogate_top50_revisit,74007,60,4,1.52587890625e-5,60.53906875000462,49,57.86729999999981,not_in_gurobi_pool,,0000010100111001011,01000000010001110,000001010011100101101000000010001110
VQE_reduced_surrogate_top50_revisit,74007,61,3,1.1444091796875e-5,60.53906875000507,50,57.86729999999981,not_in_gurobi_pool,,0000110100111001011,01000000010001110,000011010011100101101000000010001110
VQE_reduced_surrogate_top50_revisit,74018,1,28,0.0001068115234375,-14.838956249999,6,14.550499999999772,gurobi_pool,14.5505,1001110110011100011,00000101010000011,100111011001110001100000101010000011
VQE_reduced_surrogate_top50_revisit,74018,2,20,7.62939453125e-5,-14.737956250001616,9,14.651499999999885,gurobi_pool,14.651499999999999,1001110110011010011,00000101010000101,100111011001101001100000101010000101
VQE_reduced_surrogate_top50_revisit,74018,3,13,4.9591064453125e-5,-14.306956250002486,12,15.082499999999925,gurobi_pool,15.0825,1001110110011001011,00000101010000110,100111011001100101100000101010000110
VQE_reduced_surrogate_top50_revisit,74018,4,48,0.00018310546875,-11.31495624998729,22,18.074499999999887,gurobi_pool,18.0745,1001110101011100011,00000101010000011,100111010101110001100000101010000011
VQE_reduced_surrogate_top50_revisit,74018,5,34,0.00012969970703125,-11.213956249992634,25,18.175499999999772,gurobi_pool,18.175500000000003,1001110101011010011,00000101010000101,100111010101101001100000101010000101
VQE_reduced_surrogate_top50_revisit,74018,6,20,7.62939453125e-5,-10.782956249990775,28,18.606499999999812,gurobi_pool,18.6065,1001110101011001011,00000101010000110,100111010101100101100000101010000110
